"TreeName","Site","Species","ACC_NUM","ABBREV_NAME","COUNTRY_FULL","SUB_CNT1","SUB_CNT2","SUB_CNT3","LOCALITY","LAT_DEGREE","LAT_MINUTE","LAT_SECOND","LAT_DIR","LONG_DEGREE","LONG_MINUTE","LONG_SECOND","LONG_DIR","ALTITUDE","ALTITUDE_UNIT","DESCRIPTION","COLLECTION_MISC"
"17456*A","Arnold Arboretum","Pyrus ussuriensis var. hondoensis","17456","Pyrus ussur. var. hondo.","Japan","Koshu","","","base of Mt. Fuji","","",NA,"","","",NA,"","","","","Ao-nashi (Green Pear)"
"17456*B","Arnold Arboretum","Pyrus ussuriensis var. hondoensis","17456","Pyrus ussur. var. hondo.","Japan","Koshu","","","base of Mt. Fuji","","",NA,"","","",NA,"","","","","Ao-nashi (Green Pear)"
"20513*A","Arnold Arboretum","Quercus alba","20513","Q. alba","United States","Massachusetts","","East Walpole","","","",NA,"","","",NA,"","","","",""
"358-82*A","Arnold Arboretum","Quercus alba","358-82","Q. alba","United States","Georgia","Decatur","","","","",NA,"","","",NA,"","","","",""
"quealb1","Arnold Arboretum","Quercus alba","quealb1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quealb10","Arnold Arboretum-BBM","Quercus alba","quealb10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quealb11","Arnold Arboretum-BBM","Quercus alba","quealb11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quealb2","Arnold Arboretum-BBM","Quercus alba","quealb2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quealb3A","Arnold Arboretum-BBM","Quercus alba","quealb3A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quealb3b","Arnold Arboretum-BBM","Quercus alba","quealb3b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quealb5","Arnold Arboretum","Quercus alba","quealb5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
