"TreeName","Site","Species","ACC_NUM","ABBREV_NAME","COUNTRY_FULL","SUB_CNT1","SUB_CNT2","SUB_CNT3","LOCALITY","LAT_DEGREE","LAT_MINUTE","LAT_SECOND","LAT_DIR","LONG_DEGREE","LONG_MINUTE","LONG_SECOND","LONG_DIR","ALTITUDE","ALTITUDE_UNIT","DESCRIPTION","COLLECTION_MISC"
"10645*A","Arnold Arboretum","Abies_koreana","10645","A. koreana","Korea, Republic of","","","","near summit of Hallasan; abundant over 1000 m","","",NA,"","","",NA,"","","","","Small bushy tree 15 - 35 ft x 2 ft; branches and habit neat, rather broad and symmetrical branches slender, shoots with sparse gray pubescence or glabrous, very pale bark gray, with no resin pustules but with prominent transverse lenticles, bark often wine colored but the snow made it difficult to make sure of bark color. Cones with little or no resin and reflexed chartaceous bract."
"8133*A","Arnold Arboretum","Abies_nephrolepis","8133","A. nephro.","Country Unknown","","","","Korea/Japan","","",NA,"","","",NA,"","","","",""
"1664-81*B","Arnold Arboretum","Abies_nordmanniana","1664-81","A. nord. ssp. equi-trojani","Turkey","","Mt. Ida","","O. Kazdaglari, Gurgen Serisi, Ardicbasi, Yedi Kardesler","","",NA,"","","",NA,"","1150-1200","M","","N. E. exposure"
"779-65*A","Arnold Arboretum","Abies_nordmanniana","779-65","A. nord. ssp. equi-trojani","Turkey","","","","Kaz Dagh (Mt. Ida).","","",NA,"","","",NA,"","1200-1250","M","","These seeds were collected by an officer of the forest department in Canakkale, Turkey. The observations were made by Prof. C. von Regel and Dr. Adil Pamukcuoghe."
"521-28*A","Arnold Arboretum","Abies_xborisii-regis","521-28","A. x borisii-regis","Greece","","","","","","",NA,"","","",NA,"","","","",""
"827-27*A","Arnold Arboretum","Abies_xborisii-regis","827-27","A. x borisii-regis","Greece","","","","","","",NA,"","","",NA,"","","","",""
"827-27*B","Arnold Arboretum","Abies_xborisii-regis","827-27","A. x borisii-regis","Greece","","","","","","",NA,"","","",NA,"","","","",""
"6995*A","Arnold Arboretum","Picea_purpurea","6995","Pic. purpurea","China","W. Sichuan (W. Szechuan)","Sungpan Ting","","","","",NA,"","","",NA,"","","","",""
"292-80*A","Arnold Arboretum","Calocedrus_decurrens","292-80","Calo. decurr.","United States","Oregon","","","","","",NA,"","","",NA,"","","","",""
"4000*A","Arnold Arboretum","Calocedrus_decurrens","4000","Calo. decurr.","United States","Oregon","","","","","",NA,"","","",NA,"","","","","wild collected at the request of C.S. Sragent (see archives)"
"4000*D","Arnold Arboretum","Calocedrus_decurrens","4000","Calo. decurr.","United States","Oregon","","","","","",NA,"","","",NA,"","","","","wild collected at the request of C.S. Sragent (see archives)"
"4000*E","Arnold Arboretum","Calocedrus_decurrens","4000","Calo. decurr.","United States","Oregon","","","","","",NA,"","","",NA,"","","","","wild collected at the request of C.S. Sragent (see archives)"
"220-60*B","Arnold Arboretum","Cedrus_libani","220-60","Ced. libani","Turkey","","Sutlugen","","Cin Huseyin","","",NA,"","","",NA,"","1500","M","","name of the exploitation - Kas; the number of the stand - 2; number of the section - 19-32; exposition - south; name of the series Karacay-Karadag; 60 boxed"
"220-60*C","Arnold Arboretum","Cedrus_libani","220-60","Ced. libani","Turkey","","Sutlugen","","Cin Huseyin","","",NA,"","","",NA,"","1500","M","","name of the exploitation - Kas; the number of the stand - 2; number of the section - 19-32; exposition - south; name of the series Karacay-Karadag; 60 boxed"
"220-60*D","Arnold Arboretum","Cedrus_libani","220-60","Ced. libani","Turkey","","Sutlugen","","Cin Huseyin","","",NA,"","","",NA,"","1500","M","","name of the exploitation - Kas; the number of the stand - 2; number of the section - 19-32; exposition - south; name of the series Karacay-Karadag; 60 boxed"
"220-60*F","Arnold Arboretum","Cedrus_libani","220-60","Ced. libani","Turkey","","Sutlugen","","Cin Huseyin","","",NA,"","","",NA,"","1500","M","","name of the exploitation - Kas; the number of the stand - 2; number of the section - 19-32; exposition - south; name of the series Karacay-Karadag; 60 boxed"
"448-68*A","Arnold Arboretum","Cedrus_libani","448-68","Ced. libani","","Turkey","","Sutlugen","","Cin Huseyin","",NA,"","","",NA,"","","1500","M",""
"4697*G","Arnold Arboretum","Cedrus_libani","4697","Ced. libani","Turkey","","","","Taurus Mountains, ca. 1900 m","39","",NA,"N","27","",NA,"E","1900","M","","Only a few days ago did I manage to obtain, after several futile attempts, 50 kilos of cones with good seeds. Since it was necessary to make a special trip, use many pack animals, and spend eight days of time for this, I am certain that you will not find the fee of 60 Mark German currency too high. Letter from Walter Siehe to C. S. Sargent, 18 November, 1900"
"4697*I","Arnold Arboretum","Cedrus_libani","4697","Ced. libani","Turkey","","","","Taurus Mountains, ca. 1900 m","39","",NA,"N","27","",NA,"E","1900","M","","Only a few days ago did I manage to obtain, after several futile attempts, 50 kilos of cones with good seeds. Since it was necessary to make a special trip, use many pack animals, and spend eight days of time for this, I am certain that you will not find the fee of 60 Mark German currency too high. Letter from Walter Siehe to C. S. Sargent, 18 November, 1900"
"4697*M","Arnold Arboretum","Cedrus_libani","4697","Ced. libani","Turkey","","","","Taurus Mountains, ca. 1900 m","39","",NA,"N","27","",NA,"E","1900","M","","Only a few days ago did I manage to obtain, after several futile attempts, 50 kilos of cones with good seeds. Since it was necessary to make a special trip, use many pack animals, and spend eight days of time for this, I am certain that you will not find the fee of 60 Mark German currency too high. Letter from Walter Siehe to C. S. Sargent, 18 November, 1900"
"4697*O","Arnold Arboretum","Cedrus_libani","4697","Ced. libani","Turkey","","","","Taurus Mountains, ca. 1900 m","39","",NA,"N","27","",NA,"E","1900","M","","Only a few days ago did I manage to obtain, after several futile attempts, 50 kilos of cones with good seeds. Since it was necessary to make a special trip, use many pack animals, and spend eight days of time for this, I am certain that you will not find the fee of 60 Mark German currency too high. Letter from Walter Siehe to C. S. Sargent, 18 November, 1900"
"4697*P","Arnold Arboretum","Cedrus_libani","4697","Ced. libani","Turkey","","","","Taurus Mountains, ca. 1900 m","39","",NA,"N","27","",NA,"E","1900","M","","Only a few days ago did I manage to obtain, after several futile attempts, 50 kilos of cones with good seeds. Since it was necessary to make a special trip, use many pack animals, and spend eight days of time for this, I am certain that you will not find the fee of 60 Mark German currency too high. Letter from Walter Siehe to C. S. Sargent, 18 November, 1900"
"13047*A","Arnold Arboretum","Chamaecyparis_thyoides","13047","Chamae. thyoides","United States","Massachusetts","","Readville","","","",NA,"","","",NA,"","","","",""
"13047*C","Arnold Arboretum","Chamaecyparis_thyoides","13047","Chamae. thyoides","United States","Massachusetts","","Readville","","","",NA,"","","",NA,"","","","",""
"1171-67*B","Arnold Arboretum","Larix_decidua","1171-67","Larix decidua","Czechoslovakia","","","","","","",NA,"","","",NA,"","","","",""
"1296-83*A","Arnold Arboretum","Larix_decidua","1296-83","Larix decidua","Republic of Montenegro","","","","Peninsula Lustica","42","22",NA,"N","18","40",NA,"E","10-20","M","",""
"14937*A","Arnold Arboretum","Larix_decidua","14937","Larix decidua","Poland","Silesia","","","","","",NA,"","","",NA,"","","","",""
"171-67*A","Arnold Arboretum","Larix_decidua","171-67","Rh. 'Purple Gem'","","","","","","","",NA,"","","",NA,"","","","",""
"19708*A","Arnold Arboretum","Larix_decidua","19708","Larix decidua","","","","","","","",NA,"","","",NA,"","","","",""
"239-2012*A","Arnold Arboretum","Larix_decidua","239-2012","Larix sp.","","","","","","","",NA,"","","",NA,"","","","",""
"2775*B","Arnold Arboretum","Larix_decidua","2775","Larix decidua","","","","","","","",NA,"","","",NA,"","","","",""
"2775*C","Arnold Arboretum","Larix_decidua","2775","Larix decidua","","","","","","","",NA,"","","",NA,"","","","",""
"2775*D","Arnold Arboretum","Larix_decidua","2775","Larix decidua","","","","","","","",NA,"","","",NA,"","","","",""
"2775*G","Arnold Arboretum","Larix_decidua","2775","Larix decidua","","","","","","","",NA,"","","",NA,"","","","",""
"2775*H","Arnold Arboretum","Larix_decidua","2775","Larix decidua","","","","","","","",NA,"","","",NA,"","","","",""
"2775*M","Arnold Arboretum","Larix_decidua","2775","Larix decidua","","","","","","","",NA,"","","",NA,"","","","",""
"2775*O","Arnold Arboretum","Larix_decidua","2775","Larix decidua","","","","","","","",NA,"","","",NA,"","","","",""
"2775*P","Arnold Arboretum","Larix_decidua","2775","Larix decidua","","","","","","","",NA,"","","",NA,"","","","",""
"2775*Q","Arnold Arboretum","Larix_decidua","2775","Larix decidua","","","","","","","",NA,"","","",NA,"","","","",""
"14936*B","Arnold Arboretum","Larix_gmelinii","14936","Larix gmel. var. pr.-rupp.","China","Shanxi (Shansi)","","","Wutaishan","","",NA,"","","",NA,"","","","",""
"14936*C","Arnold Arboretum","Larix_gmelinii","14936","Larix gmel. var. pr.-rupp.","China","Shanxi (Shansi)","","","Wutaishan","","",NA,"","","",NA,"","","","",""
"18503*A","Arnold Arboretum","Larix_gmelinii","18503","Larix gmel. var. pr.-rupp.","China","","","","","","",NA,"","","",NA,"","","","",""
"18503*G","Arnold Arboretum","Larix_gmelinii","18503","Larix gmel. var. pr.-rupp.","China","","","","","","",NA,"","","",NA,"","","","",""
"21784*B","Arnold Arboretum","Larix_gmelinii","21784","Larix gmel. var. pr.-rupp.","China","Hebei (Chih-li)","","","Hsaio Wu tai shan","","",NA,"","","",NA,"","","","",""
"21784*K","Arnold Arboretum","Larix_gmelinii","21784","Larix gmel. var. pr.-rupp.","China","Hebei (Chih-li)","","","Hsaio Wu tai shan","","",NA,"","","",NA,"","","","",""
"1097*C","Arnold Arboretum","Larix_kaempferi","1097","Larix kaemp.","Japan","","","","","","",NA,"","","",NA,"","","","",""
"14939*B","Arnold Arboretum","Larix_kaempferi","14939","Larix kaemp.","Japan","","","","","","",NA,"","","",NA,"","","","",""
"152-79*A","Arnold Arboretum","Larix_kaempferi","152-79","Larix kaemp.","","","Japan","","","","",NA,"","","",NA,"","","","",""
"14948*A","Arnold Arboretum","Larix_sibirica","14948","Larix sibirica","Country Unknown","","","","The Altai Mountain Range of Central Asia","","",NA,"","","",NA,"","","","",""
"445-60*A","Arnold Arboretum","Larix_sibirica","445-60","Larix sibirica","Russian Federation","","","","","","",NA,"","","",NA,"","","","",""
"21774*A","Arnold Arboretum","Picea_asperata","21774","Pic. asperata","China","","","","Plan-lan-Shan","","",NA,"","","",NA,"","","","",""
"6284*G","Arnold Arboretum","Picea_asperata","6284","Pic. asperata","China","W. Sichuan (W. Szechuan)","Wen-chaun, Hsien","","","","",NA,"","","",NA,"","","","",""
"6284-I","Arnold Arboretum","Picea_asperata","6284-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6992*B","Arnold Arboretum","Picea_asperata","6992","Pic. asp. var. notab.","China","W. Sichuan (W. Szechuan)","Chin-ting-shan","","","","",NA,"","","",NA,"","","","",""
"6992*G","Arnold Arboretum","Picea_asperata","6992","Pic. asp. var. notab.","China","W. Sichuan (W. Szechuan)","Chin-ting-shan","","","","",NA,"","","",NA,"","","","",""
"6992*W","Arnold Arboretum","Picea_asperata","6992","Pic. asp. var. notab.","China","W. Sichuan (W. Szechuan)","Chin-ting-shan","","","","",NA,"","","",NA,"","","","",""
"6998*F","Arnold Arboretum","Picea_asperata","6998","Pic. asp. var. pond.","China","W. Sichuan (W. Szechuan)","Pan-lan-shan","","","","",NA,"","","",NA,"","","","",""
"15877*c","Arnold Arboretum","Picea_engelmannii","15877","Pic. engelm.","United States","Montana","","","Many Glacier","","",NA,"","","",NA,"","","","",""
"16477*E","Arnold Arboretum","Picea_engelmannii","16477","Pic. engelm.","United States","Colorado","","","","","",NA,"","","",NA,"","","","",""
"16477*F","Arnold Arboretum","Picea_engelmannii","16477","Pic. engelm.","United States","Colorado","","","","","",NA,"","","",NA,"","","","",""
"503-40*B","Arnold Arboretum","Picea_koraiensis","503-40","Pic. koraien.","Korea, Democratic People's Republic of","","","","","","",NA,"","","",NA,"","","","",""
"7707*C","Arnold Arboretum","Picea_koyamai","7707","Pic. koyamai","Japan","Hondo","Shinano","","Yatanga-dake","","",NA,"","","",NA,"","","","",""
"7707*K","Arnold Arboretum","Picea_koyamai","7707","Pic. koyamai","Japan","Hondo","Shinano","","Yatanga-dake","","",NA,"","","",NA,"","","","",""
"7707*P","Arnold Arboretum","Picea_koyamai","7707","Pic. koyamai","Japan","Hondo","Shinano","","Yatanga-dake","","",NA,"","","",NA,"","","","",""
"7707*R","Arnold Arboretum","Picea_koyamai","7707","Pic. koyamai","Japan","Hondo","Shinano","","Yatanga-dake","","",NA,"","","",NA,"","","","",""
"7707*S","Arnold Arboretum","Picea_koyamai","7707","Pic. koyamai","Japan","Hondo","Shinano","","Yatanga-dake","","",NA,"","","",NA,"","","","",""
"7707F","Arnold Arboretum","Picea_koyamai","7707F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7707G","Arnold Arboretum","Picea_koyamai","7707G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7707M","Arnold Arboretum","Picea_koyamai","7707M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7707-Q","Arnold Arboretum","Picea_koyamai","7707-Q",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1341-78*A","Arnold Arboretum","Picea_meyeri","1341-78","Pic. meyeri","Country Unknown","","","","","","",NA,"","","",NA,"","","","",""
"1341-78*B","Arnold Arboretum","Picea_meyeri","1341-78","Pic. meyeri","Country Unknown","","","","","","",NA,"","","",NA,"","","","",""
"20-48*A","Arnold Arboretum","Picea_meyeri","20-48","Pic. meyeri","Russian Federation","Siberia","Khabarovsk","","obtained from the forester of the Imperial Domains","","",NA,"","","",NA,"","","","",""
"228-43*A","Arnold Arboretum","Picea_meyeri","228-43","Pic. meyeri","China","Gansu (Kansu)","Choni","","","","",NA,"","","",NA,"","","","",""
"7709*B","Arnold Arboretum","Picea_obovata","7709","Pic. obovata","Russian Federation","","","","Altai Mountains, Lake Marian","","",NA,"","","",NA,"","","","",""
"1476*I","Arnold Arboretum","Picea_pungens","1476","Pic. pungens","United States","Colorado","","","","","",NA,"","","",NA,"","","","",""
"6695*H","Arnold Arboretum","Picea_purpurea","6695","Vacc. pallidum","","","","","","","",NA,"","","",NA,"","","","",""
"16511*C","Arnold Arboretum","Picea_rubens","16511","Pic. rubens","United States","Maine","Bar Harbor & Ironbound Isle","","","","",NA,"","","",NA,"","","","",""
"16511*D","Arnold Arboretum","Picea_rubens","16511","Pic. rubens","United States","Maine","Bar Harbor & Ironbound Isle","","","","",NA,"","","",NA,"","","","",""
"16511*E","Arnold Arboretum","Picea_rubens","16511","Pic. rubens","United States","Maine","Bar Harbor & Ironbound Isle","","","","",NA,"","","",NA,"","","","",""
"16511*G","Arnold Arboretum","Picea_rubens","16511","Pic. rubens","United States","Maine","Bar Harbor & Ironbound Isle","","","","",NA,"","","",NA,"","","","",""
"16515C","Arnold Arboretum","Picea_wilsonii","16515C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16520P","Arnold Arboretum","Picea_wilsonii","16520P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16521A","Arnold Arboretum","Picea_wilsonii","16521A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16515*A","Arnold Arboretum","Picea_wilsonii","16515","Pic. wils.","China","Hebei (Chih-li)","","","Jehol","","",NA,"","","",NA,"","","","",""
"16515*I","Arnold Arboretum","Picea_wilsonii","16515","Pic. wils.","China","Hebei (Chih-li)","","","Jehol","","",NA,"","","",NA,"","","","",""
"16515*K","Arnold Arboretum","Picea_wilsonii","16515","Pic. wils.","China","Hebei (Chih-li)","","","Jehol","","",NA,"","","",NA,"","","","",""
"16515*M","Arnold Arboretum","Picea_wilsonii","16515","Pic. wils.","China","Hebei (Chih-li)","","","Jehol","","",NA,"","","",NA,"","","","",""
"16515*N","Arnold Arboretum","Picea_wilsonii","16515","Pic. wils.","China","Hebei (Chih-li)","","","Jehol","","",NA,"","","",NA,"","","","",""
"16520*C","Arnold Arboretum","Picea_wilsonii","16520","Pic. wils.","China","W. Kansu","Lotani Road","","","","",NA,"","","",NA,"","","","",""
"16520*I","Arnold Arboretum","Picea_wilsonii","16520","Pic. wils.","China","W. Kansu","Lotani Road","","","","",NA,"","","",NA,"","","","",""
"16520*K","Arnold Arboretum","Picea_wilsonii","16520","Pic. wils.","China","W. Kansu","Lotani Road","","","","",NA,"","","",NA,"","","","",""
"7599*A","Arnold Arboretum","Picea_wilsonii","7599","Pic. wils.","China","Shanxi (Shansi)","","","Wutaishan","","",NA,"","","",NA,"","","","",""
"16515*G","Arnold Arboretum","Picea_wilsonii","16515","Pic. wils.","China","Hebei (Chih-li)","","","Jehol","","",NA,"","","",NA,"","","","",""
"24-49*A","Arnold Arboretum","Pinus_armandii","24-49","P. armandii","China","Sichuan (Szechuan)","","","","","",NA,"","","",NA,"","","","",""
"11373*B","Arnold Arboretum","Pinus_densiflora","11373","P. densifl.","Korea, Republic of","","","","","","",NA,"","","",NA,"","","","",""
"16536*C","Arnold Arboretum","Pinus_densiflora","16536","P. densifl.","Japan","","","","","","",NA,"","","",NA,"","","","",""
"1724-77*A","Arnold Arboretum","Pinus_densiflora","1724-77","P. densifl.","Japan","Honshu","Miyagi Pref.","","Miyato Island, near Matsushima","","",NA,"","","",NA,"","","","",""
"1724-77*B","Arnold Arboretum","Pinus_densiflora","1724-77","P. densifl.","Japan","Honshu","Miyagi Pref.","","Miyato Island, near Matsushima","","",NA,"","","",NA,"","","","",""
"1724-77*C","Arnold Arboretum","Pinus_densiflora","1724-77","P. densifl.","Japan","Honshu","Miyagi Pref.","","Miyato Island, near Matsushima","","",NA,"","","",NA,"","","","",""
"16541*A","Arnold Arboretum","Pinus_echinata","16541","P. echinata","United States","New York","Staten Island","","","","",NA,"","","",NA,"","","","",""
"16541*F","Arnold Arboretum","Pinus_echinata","16541","P. echinata","United States","New York","Staten Island","","","","",NA,"","","",NA,"","","","",""
"16541*H","Arnold Arboretum","Pinus_echinata","16541","P. echinata","United States","New York","Staten Island","","","","",NA,"","","",NA,"","","","",""
"16541*I","Arnold Arboretum","Pinus_echinata","16541","P. echinata","United States","New York","Staten Island","","","","",NA,"","","",NA,"","","","",""
"254-79*A","Arnold Arboretum","Pinus_flexilis","254-79","P. flexilis","United States","Texas","","","Davis Mountains","","",NA,"","","",NA,"","","","",""
"11242*A","Arnold Arboretum","Pinus_koraiensis","11242","P. koraiensis","Korea, Republic of","","","","(Korea and Japan)","","",NA,"","","",NA,"","","","",""
"1264-83*B","Arnold Arboretum","Pinus_koraiensis","1264-83","P. koraiensis","Korea, Republic of","Kangwon-do","","","Mt. Yongmun","","",NA,"","","",NA,"","","","",""
"Pinnig1","Arnold Arboretum","Pinus_nigra","Pinnig1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pinnig2","Arnold Arboretum","Pinus_nigra","pinnig2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pinnig3","Arnold Arboretum","Pinus_nigra","Pinnig3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pinnig4","Arnold Arboretum","Pinus_nigra","Pinnig4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pinnig7","Arnold Arboretum","Pinus_nigra","pinnig7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pinnig8","Arnold Arboretum","Pinus_nigra","pinnig8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pinnig9","Arnold Arboretum","Pinus_nigra","pinnig9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pinning5","Arnold Arboretum","Pinus_nigra","pinning5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pinning6","Arnold Arboretum","Pinus_nigra","pinning6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4802*C","Arnold Arboretum","Pinus_nigra","4802","P. nigra ssp. nigra","Bosnia and Herzegovina","","","","Han Sarnes","","",NA,"","","",NA,"","4000","FT","",""
"4802*CTRUE","Arnold Arboretum","Pinus_nigra","4802","P. nigra ssp. nigra","Bosnia and Herzegovina","","","","Han Sarnes","","",NA,"","","",NA,"","4000","FT","",""
"4802*D","Arnold Arboretum","Pinus_nigra","4802","P. nigra ssp. nigra","Bosnia and Herzegovina","","","","Han Sarnes","","",NA,"","","",NA,"","4000","FT","",""
"4802*E","Arnold Arboretum","Pinus_nigra","4802","P. nigra ssp. nigra","Bosnia and Herzegovina","","","","Han Sarnes","","",NA,"","","",NA,"","4000","FT","",""
"1732-77*A","Arnold Arboretum","Pinus_parviflora","1732-77","P. parvifl.","Japan","Hokkaido Prefecture","Hidaka District","","Mt. Apoi","","",NA,"","","",NA,"","","","",""
"1732-77*B","Arnold Arboretum","Pinus_parviflora","1732-77","P. parvifl.","Japan","Hokkaido Prefecture","Hidaka District","","Mt. Apoi","","",NA,"","","",NA,"","","","",""
"1732-77*D","Arnold Arboretum","Pinus_parviflora","1732-77","P. parvifl.","Japan","Hokkaido Prefecture","Hidaka District","","Mt. Apoi","","",NA,"","","",NA,"","","","",""
"1311-79*B","Arnold Arboretum","Pinus_ponderosa","1311-79","P. pond. var. pond.","Canada","British Columbia","Similkameen District","","","49","02",NA,"N","118","05",NA,"W","","","",""
"1311-79*F","Arnold Arboretum","Pinus_ponderosa","1311-79","P. pond. var. pond.","Canada","British Columbia","Similkameen District","","","49","02",NA,"N","118","05",NA,"W","","","",""
"205-80*A","Arnold Arboretum","Pinus_ponderosa","205-80","P. pond. var. pond.","United States","Washington","","","","47","09",NA,"N","120","25",NA,"W","","","",""
"205-80*B","Arnold Arboretum","Pinus_ponderosa","205-80","P. pond. var. pond.","United States","Washington","","","","47","09",NA,"N","120","25",NA,"W","","","",""
"16573*M","Arnold Arboretum","Pinus resinosa","16573","P. resinosa","United States","New Hampshire","","","White Mountains","","",NA,"","","",NA,"","","","",""
"16573*N","Arnold Arboretum","Pinus_resinosa","16573","P. resinosa","United States","New Hampshire","","","White Mountains","","",NA,"","","",NA,"","","","",""
"16573*Q","Arnold Arboretum","Pinus_resinosa","16573","P. resinosa","United States","New Hampshire","","","White Mountains","","",NA,"","","",NA,"","","","",""
"16589*A","Arnold Arboretum","Pinus_sylvestris","16589","P. sylv. var. lapp.","Finland","","","","","","",NA,"","","",NA,"","","","",""
"16589*B","Arnold Arboretum","Pinus_sylvestris","16589","P. sylv. var. lapp.","Finland","","","","","","",NA,"","","",NA,"","","","",""
"16589*G","Arnold Arboretum","Pinus_sylvestris","16589","P. sylv. var. lapp.","Finland","","","","","","",NA,"","","",NA,"","","","",""
"16589*H","Arnold Arboretum","Pinus_sylvestris","16589","P. sylv. var. lapp.","Finland","","","","","","",NA,"","","",NA,"","","","",""
"113-72*H","Arnold Arboretum","Pinus_tabuliformis","113-72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16576*H","Arnold Arboretum","Pinus_tabuliformis","16576","P. tabuliformis","China","Hebei (Chih-li)","","","","","",NA,"","","",NA,"","","","",""
"16576*I","Arnold Arboretum","Pinus_tabuliformis","16576","P. tabuliformis","China","Hebei (Chih-li)","","","","","",NA,"","","",NA,"","","","",""
"16576*J","Arnold Arboretum","Pinus_tabuliformis","16576","P. tabuliformis","China","Hebei (Chih-li)","","","","","",NA,"","","",NA,"","","","",""
"16576*N","Arnold Arboretum","Pinus_tabuliformis","16576","P. tabuliformis","China","Hebei (Chih-li)","","","","","",NA,"","","",NA,"","","","",""
"16576*R","Arnold Arboretum","Pinus_tabuliformis","16576","P. tabuliformis","China","Hebei (Chih-li)","","","","","",NA,"","","",NA,"","","","",""
"11371*G","Arnold Arboretum","Pinus_thunbergii","11371","P. thunbergii","Country Unknown","","","","","","",NA,"","","",NA,"","","","",""
"11371*J","Arnold Arboretum","Pinus_thunbergii","11371","P. thunbergii","Country Unknown","","","","","","",NA,"","","",NA,"","","","",""
"11371*M","Arnold Arboretum","Pinus_thunbergii","11371","P. thunbergii","Country Unknown","","","","","","",NA,"","","",NA,"","","","",""
"16592*D","Arnold Arboretum","Pinus_thunbergii","16592","P. thunbergii","Japan","","","","","","",NA,"","","",NA,"","","","",""
"16592*E","Arnold Arboretum","Pinus_thunbergii","16592","P. thunbergii","Japan","","","","","","",NA,"","","",NA,"","","","",""
"psemen3","Arnold Arboretum","Pseudotsuga_menziesii","psemen3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"psemen5a","Arnold Arboretum","Pseudotsuga_menziesii","psemen5a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"psemen5b","Arnold Arboretum","Pseudotsuga_menziesii","psemen5b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"psemen6a","Arnold Arboretum","Pseudotsuga_menziesii","psemen6a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"psemen6b","Arnold Arboretum","Pseudotsuga_menziesii","psemen6b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"psemen7","Arnold Arboretum","Pseudotsuga_menziesii","psemen7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"psemen8","Arnold Arboretum","Pseudotsuga_menziesii","psemen8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1270-64*B","Arnold Arboretum","Pseudotsuga_menziesii","1270-64","Bet. x aurata","","Poland","","","","","",NA,"","","",NA,"","","","",""
"16780*K","Arnold Arboretum","Pseudotsuga_menziesii","16780","Ps'tsuga menz. var. glauca","United States","Colorado","","","","","",NA,"","","",NA,"","","","",""
"16780*L","Arnold Arboretum","Pseudotsuga_menziesii","16780","Ps'tsuga menz. var. glauca","United States","Colorado","","","","","",NA,"","","",NA,"","","","",""
"16780*M","Arnold Arboretum","Pseudotsuga_menziesii","16780","Ps'tsuga menz. var. glauca","United States","Colorado","","","","","",NA,"","","",NA,"","","","",""
"17404*C","Arnold Arboretum","Taxus_cuspidata","17404","Tax. cusp.","Japan","","","","","","",NA,"","","",NA,"","","","",""
"17404*D","Arnold Arboretum","Taxus_cuspidata","17404","Tax. cusp.","Japan","","","","","","",NA,"","","",NA,"","","","",""
"1225-78*A","Arnold Arboretum","Thuja_plicata","1225-78","Th. plicata","Canada","British Columbia","","","","","",NA,"","","",NA,"","","","",""
"1474-81*C","Arnold Arboretum","Thuja_plicata","1474-81","Th. plicata","United States","Idaho","","","Three Devils Campground, approximately 2.5 miles west of Lowell","46","08",NA,"N","115","37",NA,"W","432","M","",""
"1549-81*B","Arnold Arboretum","Thuja_plicata","1549-81","Th. plicata","United States","Idaho","","","east of Clarkia","47","00",NA,"N","116","24",NA,"W","","","",""
"17515*A","Arnold Arboretum","Thuja_plicata","17515","Th. plicata","United States","Idaho","","Fort Coeur d'Alene","","","",NA,"","","",NA,"","","","",""
