TreeName,Species,YearLastRing,Site,RingCount,ImageName,AnalysisDateTime,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1904,1903,1902,1901,1900,1899,1898,1897,1896,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885,1884,1883,1882,1881,1880,1879,1878,1877,1876,1875,1874,1873,1872,1871,1870,1869,1868,1867,1866,1865,1864,1863,1862,1861
4000*D,Calocedrus_decurrens,2014,Arnold Arboretum,83,Calocedrus_decurrens_2014Jul31.tif,7/20/16 9:57,0.346,2.815,2.911,2.443,2.33,2.973,3.019,2.498,2.786,2.359,1.527,3.307,4.732,3.689,4.089,2.551,3.752,2.869,2.632,1.583,0.891,1.791,2.839,3.449,3.172,2.539,1.332,2.478,3.556,3.336,2.382,2.091,1.48,1.438,2.391,1.881,2.653,2.591,3.11,4.276,3.683,3.173,3.319,1.31,1.568,1.521,1.624,1.587,1.157,0.675,0.843,0.902,1.269,1.178,0.747,0.841,1.159,0.76,1.546,2.936,3.451,2.518,2.306,4.323,2.889,1.96,2.264,2.98,2.394,2.404,1.602,1.326,2.584,1.899,2.191,1.489,2.929,1.81,2.725,1.079,1.978,1.179,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000*E,Calocedrus_decurrens,2014,Arnold Arboretum,57,Calocedrus_decurrens_2014Jul31.tif,7/20/16 9:57,0.255,0.719,0.731,1.222,0.898,1.087,0.926,0.986,0.591,0.552,1.098,1.377,1.112,0.933,0.62,0.621,1.234,0.57,0.421,0.495,0.571,0.753,0.371,0.369,0.201,0.295,0.465,0.162,0.935,0.245,0.285,0.428,0.372,1.307,0.633,1.007,1.136,0.318,0.63,0.549,0.87,0.378,0.671,0.333,0.244,0.422,0.211,0.38,0.379,0.548,0.549,0.969,0.964,0.634,0.591,0.615,47.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220-60*B,Cedrus_libani,2014,Arnold Arboretum,44,Cedrus_libani_220-60_2014Jul.tif,7/20/16 10:11,1.344,2.626,3.027,2.65,2.871,3.193,3.947,4.592,5.866,4.417,4.812,4.667,4.681,6.288,7.087,4.937,6.676,4.676,3.784,3.281,3.317,3.725,4.34,4.749,5.076,5.436,5.148,4.76,5.701,6.777,5.838,6.071,7.197,5.613,6.354,7.469,6.344,7.779,13.94,16.81,12.822,12.445,9.624,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220-60*C,Cedrus_libani,2014,Arnold Arboretum,37,Cedrus_libani_2014Jul_part1.tif,7/20/16 10:15,1.14,1.968,1.692,1.637,1.617,2.227,2.258,2.566,2.773,3.23,4.496,5.803,6.117,6.744,7.124,6.233,8.087,4.856,6.261,5.128,5.082,5.388,3.318,3.416,4.154,6.061,5.732,6.418,8.096,12.34,10.474,12.183,11.122,11.089,12.582,12.921,9.531,9.381,8.8,11.076,11.712,11.283,15.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220-60*D,Cedrus_libani,2014,Arnold Arboretum,37,Cedrus_libani_220-60D_2014Jul_part1.tif,7/20/16 10:17,10.206,7.92,7.828,8.649,10.379,10.018,12.485,12.433,7.995,7.709,7.799,7.633,8.328,7.601,5.27,7.787,6.299,5.693,3.249,4.822,4.184,6.659,6.209,5.024,5.073,6.259,5.837,5.204,5.301,7.733,7.522,6.391,5.152,7.879,8.779,12.05,8.604,8.724,9.29,8.74,11.462,6.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220-60*F,Cedrus_libani,2014,Arnold Arboretum,41,Cedrus_libani_220-60_2014Jul.tif,7/20/16 10:11,1.661,3.917,2.982,3.235,1.817,2.911,4.127,4.301,4.195,3.618,3.83,5.604,8.26,6.857,11.495,10.577,8.008,4.53,9.94,7.809,6.745,6.669,7.508,8.474,9.836,8.211,8.912,6.665,9.432,7.923,8.876,7.345,8.72,10.185,10.243,11.231,8.613,10.16,10.913,9.045,5.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448-68*A,Cedrus_libani,2014,Arnold Arboretum,34,Cedrus_libani_2014Jul_part1.tif,7/20/16 10:15,1.21,1.812,2.262,3.509,3.221,4.519,4.802,6.86,6.393,7.791,8.122,7.569,5.905,5.7,5.986,4.319,7.317,5.842,7.155,5.42,6.257,6.841,7.625,8.064,8.002,6.801,5.888,5.361,7.464,11.6,8.789,8.643,14.158,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4697*G,Cedrus_libani,2014,Arnold Arboretum,82,Cedrus_libani_2014Jul18.tif,7/20/16 10:27,1.946,2.858,1.734,4.973,4.413,3.999,2.629,5.675,4.215,5.744,5.152,4.022,4.445,2.621,2.819,3.774,5.639,1.816,5.482,2.074,4.529,2.381,3.954,2.876,5.262,3.527,4.43,2.667,4.346,3.93,3.399,1.943,5.992,5.898,3.62,3.066,2.497,4.924,6.128,6.149,9.39,7.552,9.941,6.898,6.149,2.85,2.83,2.317,2.326,2.596,2.057,2.106,1.623,1.374,1.296,1.812,1.039,1.053,0.849,1.051,1.018,0.726,0.725,0.958,0.792,0.376,0.745,0.763,1.149,1.376,1.313,1.375,1.581,1.041,1.07,1.13,2.111,1.496,2.029,2.938,1.728,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4697*I,Cedrus_libani,2014,Arnold Arboretum,73,Cedrus_libani_2014Jul18.tif,7/20/16 10:27,1.813,3.161,4.762,3.162,3.514,4.082,4.808,3.214,4.648,3.53,4.78,4.481,3.917,5.217,4.281,2.623,5.047,0.732,2.28,0.816,2.363,2.538,2.454,1.764,1.82,2.481,1.043,0.676,1.311,2.029,1.1,0.551,0.634,0.437,0.602,0.498,0.48,0.535,0.535,0.48,0.25,0.254,0.279,0.339,0.366,0.503,0.507,0.422,0.62,0.337,0.48,1.142,1.255,1.168,0.844,1.355,2.806,5.027,2.235,3.259,4.414,4.319,5.311,10.707,7.031,4.294,2.998,6.86,2.342,4.734,0.721,5.447,6.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4697*M,Cedrus_libani,2014,Arnold Arboretum,108,Cedrus_libani_2014Jul18.tif,7/20/16 10:27,0.833,2.078,1.769,2.821,1.94,2.879,2.705,2.546,2.698,3.297,2.111,3.379,3.681,3.432,2.671,2.913,3.261,2.154,2.967,2.292,1.946,2.153,2.423,2.931,2.571,2.375,2.116,2.014,2.452,3.393,2.961,3.555,4.171,2.935,2.861,4.778,4.187,4.144,4.143,4.14,3.968,3.291,2.06,0.799,0.257,0.941,0.68,0.713,0.294,0.467,0.7,0.521,0.84,0.667,0.234,0.701,0.398,0.926,0.796,0.932,0.532,0.758,0.386,1.25,1.401,1.306,1.268,1.585,1.346,1.029,1.075,1.052,1.418,1.379,2.109,1.801,1.22,1.352,2.938,2.023,3.505,2.717,3.36,2.264,3.606,2.738,1.558,1.639,1.265,2.429,1.106,1.408,1.612,1.077,5.714,6.381,5.64,6.242,5.1,4.158,4.664,6.08,4.627,4.786,6.009,3.633,2.843,1.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4697*O,Cedrus_libani,2014,Arnold Arboretum,76,Cedrus_libani_2014Jul_part1.tif,7/20/16 10:15,2.65,1.643,2.081,2.032,2.684,2.374,2.422,1.469,3.013,2.683,3.102,1.651,1.842,2.101,2.139,1.355,3.225,3.018,2.224,1.754,1.742,2.972,2.487,2.269,2.778,2.484,3.884,2.861,2.772,2.307,1.573,2.825,3.467,1.94,2.783,3.09,2.324,3.437,3.59,3.833,3.005,2.897,2.335,2.299,1.999,1.982,2.18,2.137,1.531,1.43,2.533,2.445,1.847,2.032,2.088,2.496,2.369,3.827,2.176,2.114,4.579,4.258,3.827,4.233,6.962,6.383,6.815,4.477,8.402,5.364,4.978,4.669,6.395,8.837,7.028,6.622,8.055,6.878,7.341,8.057,8.278,6.583,7.529,7.428,8.457,6.912,4.952,7.223,6.599,4.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4697*P,Cedrus_libani,2014,Arnold Arboretum,61,Cedrus_libani_4697P_part1002.tif,7/20/16 10:29,2.03,3.168,1.889,3.198,2.961,2.713,2.646,3.646,3.454,3.516,4.464,3.034,4.216,5.045,3.689,3.254,5.076,3.774,3.959,3.357,4.704,4.723,7.025,8.343,8.397,10.358,10.074,7.904,9.977,9.909,7.175,6.345,6.562,8.449,6.255,5.159,3.125,2.364,3.001,2.964,3.549,3.662,2.609,2.169,2.189,3.672,3.108,2.554,2.528,1.211,1.585,1.263,1.481,0.813,1.381,1.302,2.049,1.877,3.196,7.416,7.25,4.968,4.063,5.043,2.342,2.13,2.611,6.746,7.062,7.749,6.184,3.016,8.611,11.39,8.763,7.489,6.487,1.931,1.156,0.947,0.997,2.654,3.622,5.936,6.574,5.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13047*A,Chamaecyparis_thyoides,2014,Arnold Arboretum,83,Calocedrus_Chamaecyparis_2014Jul23.tif,7/20/16 9:52,0.988,1.847,0.931,1.778,0.833,2.032,1.262,1.665,1.456,1.392,1.047,1.543,1.691,1.252,1.515,0.91,1.142,0.641,1.777,1.253,1.099,1.665,1.606,1.529,1.042,3.249,2.125,2.408,2.604,2.658,2.09,1.7,2.193,2.757,1.895,2.793,2.396,2.483,1.905,2.221,1.199,2.924,2.528,1.27,1.773,1.946,2.243,2.384,1.791,1.14,1.862,2.568,2.276,1.815,2.269,1.721,1.832,1.225,2.334,1.89,1.973,1.213,1.607,1.211,1.519,1.532,2.768,4.012,2.483,2.182,2.182,2.226,2.904,3.873,2.021,1.803,2.718,1.861,2.997,2.959,3.46,4.531,2.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13047*C,Chamaecyparis_thyoides,2014,Arnold Arboretum,98,Calocedrus_Chamaecyparis_2014Jul23.tif,7/20/16 9:52,0.811,1.148,0.998,1.406,0.898,1.411,0.81,1.13,1.151,1.044,0.891,0.982,0.84,0.638,0.873,0.531,0.925,0.527,1.02,0.801,0.472,1.432,1.367,1.546,1.043,1.575,0.945,1.012,0.931,0.988,0.761,0.875,1.214,1.354,1.129,0.706,1.641,1.522,1.176,1.237,0.704,0.816,0.83,0.506,0.394,0.929,1.24,1.091,0.872,0.677,0.733,1.101,0.961,0.79,1.242,1.073,1.148,0.884,1.317,1.787,1.495,1.298,0.963,1.237,0.957,0.647,1.437,1.688,1.405,1.312,1.995,1.775,2.115,2.532,1.54,1.616,2.35,1.707,1.925,1.955,2.56,2.563,0.879,2.105,2.134,1.222,2.034,2.306,2.241,1.57,2.134,1.371,2.062,2.69,2.353,2.295,3.3,7.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171-67*B,Larix_decidua,2014,Arnold Arboretum,40,Larix_deciduaAug2014003.tif,7/20/16 10:53,2.163,6.583,5.207,1.993,4.569,7.386,1.345,3.356,3.218,5.057,1.833,3.496,1.291,2.395,0.971,2.427,2.673,2.557,2.429,2.234,2.865,5.968,3.409,4.274,5.517,2.771,3.826,5.816,5.113,1.608,2.475,6.621,5.197,5.947,6.548,5.323,6.431,7.16,6.877,7.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296-83*A,Larix_decidua,2014,Arnold Arboretum,25,Larix_decidua_2014Aug001.tif,7/20/16 10:50,3.154,3.865,7.62,2.19,8.322,8.946,2.789,5.169,6.388,2.898,6.168,8.596,8.435,13.008,11.865,6.635,13.581,8.428,7.869,6.026,6.725,8.153,14.509,17.698,12.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14937*A,Larix_decidua,2014,Arnold Arboretum,102,Larix_decidua_2014Aug001.tif,7/20/16 10:50,0.37,1.29,0.706,1.35,1.777,1.663,0.6,1.536,1.707,1.605,1.851,0.399,0.706,1.264,1.375,0.952,0.906,1.924,2.01,1.171,1.574,1.163,2.28,0.483,1.84,2.359,0.809,2.159,1.966,0.847,6.104,2.574,4.537,2.749,0.603,2.708,0.435,2.107,2.656,0.511,2.493,0.649,2.457,1.024,1.702,1.038,2.414,1.361,1.866,0.725,1.715,5.762,2.804,0.402,3.631,2.257,0.388,4.513,2.121,1.811,1.94,1.965,0.539,3.1,1.835,1.099,1.987,3.966,1.695,1.896,2.336,1.576,2.201,3.388,5.737,3.581,1.699,1.904,1.79,2.826,2.771,0.907,1.736,3.2,3.298,4.428,5.395,4.864,5.875,5.641,6.13,8.213,6.425,6.711,5.273,6.132,4.766,3.283,1.332,1.535,1.48,8.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171-67*A,Larix_decidua,2014,Arnold Arboretum,35,Larix_decidua_2014Aug22.tif,7/20/16 10:52,2.005,2.514,4.077,1.51,1.623,2.102,1.549,3.144,1.792,3.614,0.751,2.944,0.641,2.315,1.763,0.532,0.983,0.503,3.203,1.68,3.699,2.723,3.316,4.242,11.131,7.348,4.196,6.237,9.881,7.65,9.077,12.293,10.515,11.028,22.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19708*A,Larix_decidua,2014,Arnold Arboretum,46,Larix_decidua_2014Aug22.tif,7/20/16 10:52,1.897,5.004,5.08,2.679,6.039,6.844,4.619,6.378,5.644,7.046,6.486,4.105,3.108,5.698,5.669,2.808,4.338,3.311,3.194,2.019,4.576,3.569,6.148,4.921,5.985,5.007,3.6,4.552,7.473,10.368,9.286,7.274,9.635,5.368,4.734,2.958,4.439,5.683,3.806,3.841,3.789,2.275,3.071,1.784,1.508,1.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239-2012*A,Larix_decidua,2014,Arnold Arboretum,95,Larix_deciduaAug2014003.tif,7/20/16 10:53,2.12,2.674,3.784,1.082,2.49,2.834,1.995,3.556,1.849,3.581,2.541,3.424,3.468,3.386,2.565,1.846,1.211,1.286,1.5,0.978,2.593,1.414,3.135,2.194,2.409,1.23,1.906,2.884,4.773,3.39,2.989,2.266,3.465,2.557,3.822,3.705,3.662,6.292,5.405,7.263,5.685,6.527,4.807,5.008,2.709,4.423,4.027,3.489,2.186,3.139,2.017,4.399,4.078,4.333,3.979,3.833,2.411,2.056,1.53,4.252,4.693,2.643,5.767,5.657,3.122,4.299,5.822,5.558,3.72,1.613,0.525,1.486,0.689,0.98,0.998,0.796,0.907,0.671,1.376,2.228,1.015,1.07,2.012,0.998,1.231,1.922,1.106,0.507,1.868,1.249,1.069,1.267,0.773,2.029,1.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775*B,Larix_decidua,2014,Arnold Arboretum,126,Larix_decidua_2014Aug001.tif,7/20/16 10:50,0.928,2.147,1.576,0.579,1.954,1.559,0.704,1.363,2.074,1.432,1.609,0.73,1.152,0.321,0.661,0.404,0.864,0.943,0.691,0.613,0.726,0.9,1.207,1.29,1.251,0.383,1.203,1.368,1.247,1.586,1.423,1.229,1.426,1.738,0.912,1.973,2.705,2.047,2.073,3.446,3.19,1.406,3.126,1.76,3.627,3.077,1.873,0.97,1.568,0.867,1.368,0.923,2.251,1.786,1.605,1.124,0.892,1.544,1.702,1.94,1.74,2.224,1.358,1.334,1.921,1.506,1.687,1.481,0.686,0.537,1.31,0.718,0.462,1.129,2.768,1.321,1.094,1.409,1.335,1.697,1.204,1.447,0.763,0.99,1.95,0.804,0.725,0.926,0.691,0.761,1.079,1.336,1.318,1.294,0.941,1.632,1.452,1.186,1.236,1.655,1.656,2.137,2.142,2.059,3.901,3.033,3.782,3.057,3.321,3.956,3.587,2.229,2.76,1.152,2.462,4.582,4.555,4.216,4.084,5.404,6.666,6.15,7.103,1.65,4.227,25.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
