"","Accession","Species","LeafBudburst","LeafEmerg"
"111","358-82*A","Quercus_alba","2015-05-12","2015-05-12"
"112","1225-78*A","Thuja_plicata","2015-05-12","2015-05-25"
"113","1264-80*B","Quercus_glandulifera","2015-05-04","2015-05-12"
"114","970-79*B","Carpinuscaroliniana","2015-04-27","2015-05-12"
"115","14585*D","Fagus_grandifolia","2015-04-28","2015-05-04"
"116","14585*B","Fagus_grandifolia","2015-04-28","2015-05-04"
"117","14585*C","Fagus_grandifolia","2015-04-28","2015-05-04"
"118","14585*G","Fagus_grandifolia","2015-04-28","2015-05-04"
"119","14585*J","Fagus_grandifolia","2015-04-28","2015-05-04"
"120","6782*B","Fagus_grandifolia","2015-05-04","2015-05-04"
"121","383-27*B","Fagus_engleriana","2015-04-27","2015-05-04"
"122","383-27*A","Fagus_engleriana","2015-04-27","2015-05-04"
"123","7416*A","Fagus_engleriana","2015-04-28","2015-05-04"
"124","14585*W","Fagus_grandifolia","2015-04-28","2015-05-04"
"125","14585*V","Fagus_grandifolia","2015-04-28","2015-05-04"
"126","14585*T","Fagus_grandifolia","2015-04-28","2015-05-04"
"127","4697*M","Cedrus_libani","2015-05-25","2015-06-03"
"128","220-60*D","Cedrus_libani","2015-05-25","2015-05-25"
"129","4697*K","Cedrus_libani","2015-05-25","2015-05-25"
"130","4697*G","Cedrus_libani","2015-05-12","2015-05-25"
"131","4697*O","Cedrus_libani","2015-06-03","2015-06-03"
"132","7272*C","Pyrus_pyrifolia","2015-05-04","2015-05-04"
"133","1239-83*A","Styphnolobium_japonicum","2015-05-04","2015-05-12"
"134","1549-81*B","Thuja_plicata","2015-05-12","2015-05-12"
"135","4697*I","Cedrus_libani","2015-05-25","2015-05-25"
"136","1590-52*B","Quercus_dentata","2015-05-12","2015-05-12"
"137","16824*C","Quercus_glandulifera","2015-05-12","2015-05-12"
"138","16795*A","Quercus_aliena","2015-05-04","2015-05-12"
"139","3672*A","Quercus_glandulifera","2015-05-04","2015-05-04"
"140","3672*B","Quercus_glandulifera","2015-05-04","2015-05-04"
"141","3672*C","Quercus_glandulifera","2015-05-04","2015-05-04"
"142","17631*B","Quercus_variabilis","2015-05-04","2015-05-12"
"143","1590-52*C","Quercus_dentata","2015-05-12","2015-05-12"
"144","16815*A","Quercus_dentata","2015-05-12","2015-05-12"
"145","16816*A","Quercus_dentata","2015-05-12","2015-05-12"
"146","3671*A","Quercus_variabilis","2015-05-04","2015-05-12"
"147","17631*A","Quercus_variabilis","2015-05-04","2015-05-12"
"148","7707*R","Picea_koyamai","2015-05-25","2015-05-25"
"149","1539-80*A","Sorbus_yuana","2015-04-20","2015-04-27"
"150","6998*F","Picea_asperata","2015-05-12","2015-05-12"
"151","1732-77*B","Pinus_parviflora","2015-05-12","2015-06-03"
"152","1732-77*A","Pinus_parviflora","2015-05-12","2015-06-03"
"153","11728*C","Pyrus_ussuriensis","2015-04-27","2015-05-04"
"154","16520*P","Picea_wilsonii","2015-05-12","2015-05-12"
"155","7707*M","Picea_koyamai","2015-05-25","2015-05-25"
"156","7707*S","Picea_koyamai","2015-05-25","2015-05-25"
"157","16515*I","Picea_wilsonii","2015-05-12","2015-05-12"
"158","16520*I","Picea_wilsonii","2015-05-12","2015-05-12"
"159","6992*G","Picea_asperata","2015-05-12","2015-05-25"
"160","6995*H","Picea_purpurea","2015-05-12","2015-05-12"
"161","16515*M","Picea_wilsonii","2015-05-12","2015-05-12"
"162","16515*N","Picea_wilsonii","2015-05-12","2015-05-12"
"163","16520*K","Picea_wilsonii","2015-06-03","2015-06-03"
"164","16515*K","Picea_wilsonii","2015-05-12","2015-05-12"
"165","7707*Q","Picea_koyamai","2015-05-25","2015-05-25"
"166","1726-81*B","Platanus_occidentalis","2015-05-12","2015-05-12"
"167","524-48*D","Metasequoia_glyptostroboides","2015-04-28","2015-05-12"
"168","524-48*A","Metasequoia_glyptostroboides","2015-04-28","2015-05-04"
"169","1097*C","Larix_kaempferi","2015-04-20","2015-05-04"
"170","14939*B","Larix_kaempferi","2015-04-20","2015-04-28"
"171","10645*A","Abies_koreana","2015-05-12","2015-05-12"
"172","1171-67*A","Larix_decidua","2015-04-20","2015-04-28"
"173","1171-67*B","Larix_decidua","2015-04-13","2015-04-28"
"174","13047*A","Chamaecyparis_thyoides","2015-05-04","2015-05-04"
