Loop,Ord,ACC_NUM,Species,Loc,BBNE_no01,BBNE_no02,BBNE_no03,BBNE_no04,BBNE_no05,BBNE_no06,BBNE_no07,BBNE_no08,BBNE_no09,BBNE_no10,BBNE_no11,Date01,Date02,Date03,Date04,Date05,Date06,Date07,Date08,Date09,Date10,Date11,FullExpLvs_no01,FullExpLvs_no02,FullExpLvs_no03,FullExpLvs_no04,FullExpLvs_no05,FullExpLvs_no06,FullExpLvs_no07,FullExpLvs_no08,FullExpLvs_no09,FullExpLvs_no10,FullExpLvs_no11,ILS_perc01,ILS_perc02,ILS_perc03,ILS_perc04,ILS_perc05,ILS_perc06,ILS_perc07,ILS_perc08,ILS_perc09,ILS_perc10,ILS_perc11,L_YN_01,L_YN_02,L_YN_03,L_YN_04,L_YN_05,L_YN_06,L_YN_07,L_YN_08,L_YN_09,L_YN_10,L_YN_11
,15,3699*D,Tilia_japonica,7-SE,<3,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,25-49,>95,>95,,>95,>95,>95,<5,<5,<5,<5,75-95,>95,>95,,>95,>95,>95
,16,10724*B,Phellodendron_amurense,7-SE,<3,<3,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,3-10,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,25-49,,>95,>95,>95,<5,<5,<5,<5,<5,25-49,>95,,>95,>95,>95
,17,19804*A,Tilia_americana,7-SE,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,11-100,101-1000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,50-74,75-95,,>95,>95,>95,<5,<5,<5,<5,5-24,75-95,>95,,>95,>95,>95
,18,181-79*A,Phellodendron_amurense,7-SE,<3,<3,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,3-10,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,50-74,,>95,>95,>95,<5,<5,<5,<5,<5,75-95,>95,,>95,>95,>95
,19,1769-77*A,Phellodendron_amurense,7-SE,<3,<3,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,11-100,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,50-74,,>95,>95,>95,<5,<5,<5,<5,<5,75-95,>95,,>95,>95,>95
,20,7544*C,Phellodendron_amurense,7-SE,<3,<3,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,<5,75-95,>95,,>95,>95,>95
,21,7544*B,Phellodendron_amurense,5-SW,<3,<3,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,22,772-53*A,Tilia_japonica,4-SE,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,25-49,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,>95,>95,>95,,>95,>95,>95
,23,12651*H,Aesculus_flava,11-NW,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,11-100,1001-10000,,>10000,>10000,>10000,<25,<25,<25,<25,25-49,75-95,75-95,,>95,>95,>95,<5,<5,<5,75-95,>95,>95,>95,,>95,>95,>95
,24,12651*D,Aesculus_flava,11-SW,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,101-1000,1001-10000,,>10000,>10000,>10000,<25,<25,<25,<25,25-49,75-95,75-95,,>95,>95,>95,<5,<5,<5,75-95,>95,>95,>95,,>95,>95,>95
,25,12651*C,Aesculus_flava,11-NW,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,101-1000,1001-10000,,>10000,>10000,>10000,<25,<25,<25,<25,25-49,75-95,75-95,,>95,>95,>95,<5,<5,<5,75-95,>95,>95,>95,,>95,>95,>95
,26,1581-77*F,Quercus_variabilis,15-SE,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,101-1000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,5-24,25-49,,>95,>95,>95,<5,<5,<5,<5,<5,75-95,50-74,,>95,>95,>95
,27,1539-80*B,Sorbus_yuana,22-NW,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,>95,>95,,>95,>95,>95,<5,<5,<5,25-49,25-49,>95,>95,,>95,>95,>95
,28,1894-80*C,Sorbus_yuana,BR-8,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,25-49,>95,>95,,>95,>95,>95,<5,<5,<5,25-49,>95,>95,>95,,>95,>95,>95
,29,1894-80*D,Sorbus_yuana,BR-8,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,25-49,>95,>95,,>95,>95,>95,<5,<5,<5,5-24,>95,>95,>95,,>95,>95,>95
,30,1539-80*C,Sorbus_yuana,BR-16-SE,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,25-49,>95,>95,,>95,>95,>95,<5,<5,<5,<5,>95,>95,>95,,>95,>95,>95
,31,13218*A,Gleditsia_triacanthos,21-NE,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,11-100,,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,50-74,,>95,>95,>95,<5,<5,<5,<5,<5,<5,75-95,,>95,>95,>95
,32,12221*A,Styphnolobium_japonicum,15-SW,<3,<3,<3,<3,<3,<3,101-1000,,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,<25,,>95,>95,>95,<5,<5,<5,<5,<5,<5,25-49,,>95,>95,>95
,33,20101*A,Carya_glabra,14-NE,<3,<3,1001-10000,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,11-100,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,50-74,>95,,>95,>95,>95,<5,<5,<5,<5,<5,75-95,>95,,>95,>95,>95
,34,1199*J,Betula_nigra,13-NE,<3,<3,<3,11-100,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,101-1000,1001-10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,50-74,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,35,1251-79*B,Betula_nigra,13-SE,<3,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,101-1000,1001-10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,50-74,50-74,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,36,1251-79*A,Betula_nigra,13-SE,<3,<3,1001-10000,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,11-100,1001-10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,50-74,75-95,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,37,1199*D,Betula_nigra,13-SE,<3,<3,<3,11-100,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,11-100,1001-10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,75-95,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,38,12843*A,Betula_alleghaniensis,14-SW,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,1001-10000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,50-74,>95,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,39,12843*D,Betula_alleghaniensis,14-SW,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,101-1000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,50-74,>95,,>95,>95,>95,<5,<5,<5,<5,<5,75-95,>95,,>95,>95,>95
,40,12843*C,Betula_alleghaniensis,14-SW,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,101-1000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,5-24,>95,>95,,>95,>95,>95
,41,12843*H,Betula_alleghaniensis,14-SW,<3,<3,<3,3-10,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,1001-10000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,42,12843*E,Betula_alleghaniensis,14-SW,<3,<3,>10000,11-100,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,1001-10000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,25-49,>95,>95,,>95,>95,>95
,43,1813-77*F,Zelkova_serrata,20-NW,<3,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,1001-10000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,>95,>95,>95,,>95,>95,>95
,44,1813-77*E,Zelkova_serrata,20-NW,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,1001-10000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,>95,>95,>95,,>95,>95,>95
,45,1813-77*D,Zelkova_serrata,20-NW,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,1001-10000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,>95,>95,>95,,>95,>95,>95
,46,1813-77*C,Zelkova_serrata,20-NW,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,1001-10000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,>95,>95,>95,,>95,>95,>95
,47,1813-77*A,Zelkova_serrata,20-NW,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,1001-10000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,>95,>95,>95,,>95,>95,>95
,48,1813-77*B,Zelkova_serrata,20-NW,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,1001-10000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,>95,>95,>95,,>95,>95,>95
,49,629-83*D,Betula_alleghaniensis,20-NW,<3,<3,101-1000,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,101-1000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,5-24,>95,>95,,>95,>95,>95
,50,1265-79*E,Fraxinus_mandshurica,20-NW,<3,<3,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,50-74,,>95,>95,>95,<5,<5,<5,<5,<5,5-24,>95,,>95,>95,>95
,51,1422-83*B,Fraxinus_pennsylvanica,20-NE,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,1001-10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,>95,,>95,>95,>95,<5,<5,<5,<5,<5,50-74,>95,,>95,>95,>95
,52,1245-79*A,Catalpa_speciosa,21-SW,<3,<3,<3,<3,<3,3-10,101-1000,,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,<25,,>95,>95,>95,<5,<5,<5,<5,<5,<5,<5,,>95,>95,>95
