"","X","Accession","Species","LeafBudburst","LeafEmerg","LeafBBdoy","LeafEmergdoy"
"126",126,"14585*T","Fagus_grandifolia","2015-04-28","2015-05-04",117,123
"127",127,"4697*M","Cedrus_libani","2015-05-25","2015-06-03",144,153
"128",128,"220-60*D","Cedrus_libani","2015-05-25","2015-05-25",144,144
"129",129,"4697*K","Cedrus_libani","2015-05-25","2015-05-25",144,144
"130",130,"4697*G","Cedrus_libani","2015-05-12","2015-05-25",131,144
"131",131,"4697*O","Cedrus_libani","2015-06-03","2015-06-03",153,153
"132",132,"7272*C","Pyrus_pyrifolia","2015-05-04","2015-05-04",123,123
"133",133,"1239-83*A","Styphnolobium_japonicum","2015-05-04","2015-05-12",123,131
"134",134,"1549-81*B","Thuja_plicata","2015-05-12","2015-05-12",131,131
"135",135,"4697*I","Cedrus_libani","2015-05-25","2015-05-25",144,144
"136",136,"1590-52*B","Quercus_dentata","2015-05-12","2015-05-12",131,131
"137",137,"16824*C","Quercus_glandulifera","2015-05-12","2015-05-12",131,131
"138",138,"16795*A","Quercus_aliena","2015-05-04","2015-05-12",123,131
"139",139,"3672*A","Quercus_glandulifera","2015-05-04","2015-05-04",123,123
"140",140,"3672*B","Quercus_glandulifera","2015-05-04","2015-05-04",123,123
"141",141,"3672*C","Quercus_glandulifera","2015-05-04","2015-05-04",123,123
"142",142,"17631*B","Quercus_variabilis","2015-05-04","2015-05-12",123,131
"143",143,"1590-52*C","Quercus_dentata","2015-05-12","2015-05-12",131,131
"144",144,"16815*A","Quercus_dentata","2015-05-12","2015-05-12",131,131
"145",145,"16816*A","Quercus_dentata","2015-05-12","2015-05-12",131,131
"146",146,"3671*A","Quercus_variabilis","2015-05-04","2015-05-12",123,131
"147",147,"17631*A","Quercus_variabilis","2015-05-04","2015-05-12",123,131
"148",148,"7707*R","Picea_koyamai","2015-05-25","2015-05-25",144,144
"149",149,"1539-80*A","Sorbus_yuana","2015-04-20","2015-04-27",109,116
"150",150,"6998*F","Picea_asperata","2015-05-12","2015-05-12",131,131
"151",151,"1732-77*B","Pinus_parviflora","2015-05-12","2015-06-03",131,153
"152",152,"1732-77*A","Pinus_parviflora","2015-05-12","2015-06-03",131,153
"153",153,"11728*C","Pyrus_ussuriensis","2015-04-27","2015-05-04",116,123
"154",154,"16520*P","Picea_wilsonii","2015-05-12","2015-05-12",131,131
"155",155,"7707*M","Picea_koyamai","2015-05-25","2015-05-25",144,144
"156",156,"7707*S","Picea_koyamai","2015-05-25","2015-05-25",144,144
"157",157,"16515*I","Picea_wilsonii","2015-05-12","2015-05-12",131,131
"158",158,"16520*I","Picea_wilsonii","2015-05-12","2015-05-12",131,131
"159",159,"6992*G","Picea_asperata","2015-05-12","2015-05-25",131,144
"160",160,"6995*H","Picea_purpurea","2015-05-12","2015-05-12",131,131
"161",161,"16515*M","Picea_wilsonii","2015-05-12","2015-05-12",131,131
"162",162,"16515*N","Picea_wilsonii","2015-05-12","2015-05-12",131,131
"163",163,"16520*K","Picea_wilsonii","2015-06-03","2015-06-03",153,153
"164",164,"16515*K","Picea_wilsonii","2015-05-12","2015-05-12",131,131
"165",165,"7707*Q","Picea_koyamai","2015-05-25","2015-05-25",144,144
"166",166,"1726-81*B","Platanus_occidentalis","2015-05-12","2015-05-12",131,131
"167",167,"524-48*D","Metasequoia_glyptostroboides","2015-04-28","2015-05-12",117,131
"168",168,"524-48*A","Metasequoia_glyptostroboides","2015-04-28","2015-05-04",117,123
"169",169,"1097*C","Larix_kaempferi","2015-04-20","2015-05-04",109,123
"170",170,"14939*B","Larix_kaempferi","2015-04-20","2015-04-28",109,117
"171",171,"10645*A","Abies_koreana","2015-05-12","2015-05-12",131,131
"172",172,"1171-67*A","Larix_decidua","2015-04-20","2015-04-28",109,117
"173",173,"1171-67*B","Larix_decidua","2015-04-13","2015-04-28",102,117
"174",174,"13047*A","Chamaecyparis_thyoides","2015-05-04","2015-05-04",123,123
"175",175,"13047*C","Chamaecyparis_thyoides","2015-05-04","2015-05-04",123,123
"176",176,"14948*A","Larix_sibirica","2015-04-20","2015-04-28",109,117
"177",177,"152-79*A","Larix_kaempferi","2015-04-20","2015-05-04",109,123
"178",178,"1894-80*G","Sorbus_yuana","2015-04-20","2015-04-28",109,117
"179",179,"445-60*A","Larix_sibirica","2015-04-20","2015-04-28",109,117
"180",180,"524-48*L","Metasequoia_glyptostroboides","2015-04-28","2015-05-04",117,123
"181",181,"8133*A","Abies_nephrolepis","2015-05-12","2015-05-12",131,131
"182",182,"16780*M","Pseudotsuga_menziesii","2015-05-12","2015-05-12",131,131
"183",183,"220-60*A","Cedrus_libani","2015-05-12","2015-05-12",131,131
"184",184,"1264-83*B","Pinus_koraiensis","2015-05-12","2015-06-03",131,153
"185",185,"15803*B","Tsuga_caroliniana","2015-05-12","2015-05-12",131,131
