Species,AccessionNumber,WaterDisplaced_mg,TwigVolume_cm3,DateProcessed,Name,Twig+Envelope_mg,Envelope_mg,TwigDryMass_mg,DateProcessed,Name,,,,,,,,,,,,,,,,,,,
LARGME,18503*A,3900,3.9,7/7/15,Silvia,3940,1880,2060,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LARGME,21784*B,2368,2.368,7/7/15,Silvia,3540,1930,1610,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LARGME,21784*K,3452,3.452,7/7/15,Silvia,3750,1900,1850,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LARGME,18503*G,3257,3.257,7/7/15,Silvia,3670,1910,1760,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LARGME,14936*A,1751,1.751,7/7/15,Silvia,2850,1700,1150,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LARGME,14936*B,2731,2.731,7/7/15,Silvia,3230,1890,1340,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LARKAE,152-79*A,2789,2.789,7/7/15,Silvia,3210,1880,1330,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LARKAE,14939*B,3138,3.138,7/7/15,Silvia,3670,1880,1790,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LARKAE,1097*C,2278,2.278,7/7/15,Silvia,2980,1870,1110,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LARSIB,14948*A,4120,4.12,7/7/15,Silvia,4060,1890,2170,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LARSIB,445-60*A,2671,2.671,7/7/15,Silvia,3290,1860,1430,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LIQSTY,1248-79*B,481,0.481,7/11/15,Sally,2050,1820,230,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
LIQSTY,1248-79*A,772,0.772,7/11/15,Sally,2200,1800,400,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
LIQSTY,1248-79*C,795,0.795,7/11/15,Sally,2140,1800,340,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
LIQSTY,135-38*B,731,0.731,7/11/15,Sally,2170,1820,350,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
LIQSTY,135-38*C,321,0.321,7/11/15,Sally,2000,1840,160,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
LIRTUL,787*B,2053,2.053,7/30/15,Silvia,2260,1430,830,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LIRTUL,1038-80*A,1351,1.351,7/17/15,Sally,1880,1390,490,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
LIRTUL,787*D,1335,1.335,8/4/15,Sally,2300,1840,460,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
LIRTUL,14992*D,959,0.959,7/17/15,Sally,1850,1410,440,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
METGLY,524-48*L,3964,3.964,7/14/15,Silvia,3600,1900,1700,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
METGLY,3-48*A,3790,3.79,7/14/15,Silvia,3350,1890,1460,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
METGLY,815-62*B,3984,3.984,7/15/15,Silvia,3500,1840,1660,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
METGLY,814-62*A,4444,4.444,7/15/15,Silvia,3350,1400,1950,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
METGLY,815-62*C,3012,3.012,7/15/15,Silvia,2650,1400,1250,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
METGLY,524-48*DD,5085,5.085,7/15/15,Silvia,3510,1380,2130,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
METGLY,814-62*D,3121,3.121,7/15/15,Silvia,2570,1390,1180,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
METGLY,524-48*D,3356,3.356,9/16/15,Sally,3350,1830,1520,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
