AccNum,LeafIDNum,leafbag_mass_mg,bag_mass_mg,leaf_mass_mg,leaf_wet_area
4697*I,4,1468,1445,23,
220-60*A,1,1454,1437,17,
220-60*A,2,1469,1447,22,
220-60*A,3,1468,1448,20,
220-60*A,4,1462,1441,21,
220-60*A,5,1462,1446,16,
4697*K,1,1437,1422,15,
4697*K,2,1448,1430,18,
4697*K,3,1453,1426,27,
4697*K,4,1420,1400,20,
4697*K,5,1428,1415,13,
220-60*C,1,1428,1413,15,
220-60*C,2,1446,1431,15,
220-60*C,3,1448,1432,16,
220-60*C,4,1437,1422,15,
220-60*C,5,1441,1429,12,
220-60*F,1,1415,1393,22,
220-60*F,2,1419,1397,22,
220-60*F,3,1415,1400,15,
220-60*F,4,1403,1385,18,
220-60*F,5,1416,1399,17,
4697*P,1,1455,1437,18,
4697*P,2,1445,1428,17,
4697*P,3,1457,1440,17,
4697*P,4,1432,1412,20,
4697*P,5,1438,1418,20,
13047*C,1,1458,1456,2,
13047*C,2,1488,1479,9,
13047*C,3,1449,1443,6,
13047*C,4,1456,1441,15,
13047*C,5,1424,1422,2,
13047*A,1,1431,1428,3,
13047*A,2,1408,1405,3,
13047*A,3,1430,1424,6,
13047*A,4,1423,1415,8,
13047*A,5,1445,1441,4,
18918*A,1,2498,2448,50,
18918*A,2,2525,2430,95,
18918*A,3,2502,2427,75,
18918*A,4,2453,2417,36,
18918*A,5,2477,2437,40,
5053*A,1,2518,2486,32,
5053*A,2,2532,2484,48,
5053*A,3,2519,2481,38,
5053*A,4,2527,2491,36,
5053*A,5,2517,2485,32,
5029*A,1,2545,2464,81,
5029*A,2,2560,2449,111,
5029*A,3,2565,2459,106,
5029*A,4,2549,2490,59,
5029*A,5,2494,2447,47,
6500*A,1,2559,2488,71,
6500*A,2,2639,2467,172,
6500*A,3,2574,2485,89,
6500*A,4,2542,2447,95,
6500*A,5,2584,2460,124,
18912*A,1,2613,2498,115,
18912*A,2,2552,2475,77,
18912*A,3,2610,2496,114,
18912*A,4,2564,2490,74,
18912*A,5,2560,2501,59,
11913*A,1,2652,2532,120,
11913*A,2,2590,2518,72,
11913*A,3,2563,2486,77,
11913*A,4,2552,2486,66,
11913*A,5,2540,2481,59,
838-53*A,1,1872,1865,7,
838-53*A,2,1862,1855,7,
838-53*A,3,1854,1848,6,
838-53*A,4,1854,1846,8,
838-53*A,5,1831,1826,5,
1180-50*A,1,1893,1887,6,
1180-50*A,2,1895,1887,8,
1180-50*A,3,1894,1886,8,
1180-50*A,4,1900,1894,6,
7416*B,1,2533,2422,111,
7416*B,2,2600,2456,144,
7416*B,3,2546,2444,102,
7416*B,4,2608,2459,149,
7416*B,5,2636,2484,152,
383-27*A,1,2573,2504,69,
383-27*A,2,2584,2504,80,
383-27*A,3,2540,2486,54,
383-27*A,4,2595,2526,69,
383-27*A,5,2541,2486,55,
7416*A,1,2641,2495,146,
7416*A,2,2595,2467,128,
7416*A,3,2553,2422,131,
7416*A,4,2624,2443,181,
7416*A,5,2565,2470,95,
383-27*B,1,2637,2477,160,
383-27*B,2,2621,2449,172,
383-27*B,3,2636,2443,193,
383-27*B,4,2547,2442,105,
383-27*B,5,2635,2465,170,
14585*D,1,2633,2411,222,
14585*D,2,2564,2436,128,
14585*D,3,2669,2451,218,
14585*D,4,2629,2474,155,
14585*D,5,2606,2465,141,
14585*B,1,2684,2439,245,
14585*B,2,2688,2423,265,
14585*B,3,2694,2455,239,
14585*B,4,2755,2458,297,
14585*B,5,2761,2479,282,
6782*B,1,2536,2474,62,
6782*B,2,2582,2456,126,
6782*B,3,2529,2448,81,
6782*B,4,2526,2440,86,
6782*B,5,2538,2423,115,
14585*J,1,3062,2499,563,
14585*J,2,2956,2497,459,
14585*J,3,3034,2478,556,
14585*J,4,2847,2505,342,
14585*J,5,2809,2492,317,
26-80*A,1,2716,2464,252,
26-80*A,2,2798,2504,294,
26-80*A,3,2727,2487,240,
26-80*A,4,2690,2484,206,
26-80*A,5,2717,2457,260,
14585*G,1,2664,2473,191,
14585*G,2,2549,2446,103,
14585*G,3,2592,2469,123,
14585*G,4,2667,2462,205,
14585*G,5,2663,2451,212,
14585*C,1,2200,1885,315,
14585*C,2,2123,1867,256,
14585*C,3,2191,1916,275,
14585*C,4,2175,1920,255,
14585*C,5,2182,1933,249,
911-77*C,1,5587,4395,1192,
911-77*C,2,5199,4487,712,
911-77*C,3,5732,4496,1236,
911-77*C,4,5108,4382,726,
911-77*C,5,5001,4456,545,
439-80*C,1,5562,4478,1084,
439-80*C,2,5281,4515,766,
439-80*C,3,5022,4541,481,
439-80*C,4,5552,4491,1061,
439-80*C,5,5156,4460,696,
439-80*D,1,4974,4523,451,
439-80*D,2,4899,4534,365,
439-80*D,3,4938,4501,437,
439-80*D,4,4773,4460,313,
439-80*D,5,4956,4506,450,
911-77*A,1,6151,4490,1661,
911-77*A,2,5999,4490,1509,
911-77*A,3,5945,4563,1382,
911-77*A,4,5343,4534,809,
911-77*A,5,5067,4511,556,
910-77*A,1,3990,2485,1505,
910-77*A,2,3544,2489,1055,
910-77*A,3,3489,2501,988,
910-77*A,4,3064,2475,589,
910-77*A,5,3582,2516,1066,
14615*B,1,3246,2458,788,
14615*B,2,3002,2436,566,
14615*B,3,3196,2465,731,
14615*B,4,3166,2469,697,
14615*B,5,3272,2482,790,
1265-79*E,1,8050,5789,2261,
1265-79*E,2,7504,5767,1737,
1265-79*E,3,8505,5667,2838,
1265-79*E,4,7539,5789,1750,
1265-79*E,5,8598,5783,2815,
1265-79*D,1,12166,5691,6475,
1265-79*D,2,7395,5802,1593,
1265-79*D,3,8309,5814,2495,
1265-79*D,4,9181,5693,3488,
1265-79*D,5,7571,5810,1761,
186-82*A,1,6568,4682,1886,
186-82*A,2,5153,4552,601,
186-82*A,3,5195,4534,661,
186-82*A,4,4905,4493,412,
186-82*A,5,6599,4527,2072,
186-82*C,1,6649,5781,868,
186-82*C,2,7024,5648,1376,
186-82*C,3,6293,5767,526,
186-82*C,4,7030,5796,1234,
186-82*C,5,6936,5708,1228,
1422-83*B,1,6308,4607,1701,
1422-83*B,2,5455,4494,961,
1422-83*B,3,5180,4469,711,
1422-83*B,4,7565,4538,3027,
1422-83*B,5,8435,4509,3926,
537-81*A,1,2698,2461,237,
537-81*A,2,2820,2506,314,
537-81*A,3,2696,2481,215,
537-81*A,4,2814,2465,349,
537-81*A,5,2788,2478,310,
537-81*A,6,2637,2456,181,
537-81*A,7,2803,2484,319,
537-81*A,8,2747,2459,288,
537-81*A,9,2730,2466,264,
537-81*A,10,2710,2464,246,
1237-79*B,1,5069,4544,525,
1237-79*B,2,5020,4530,490,
1237-79*B,3,5069,4547,522,
1237-79*B,4,5070,4546,524,
1237-79*B,5,5091,4354,737,
1237-79*C,1,5211,4437,774,
1237-79*C,2,5082,4573,509,
1237-79*C,3,5163,4574,589,
1237-79*C,4,5069,4521,548,
1237-79*C,5,5135,4528,607,
13218*A,1,5271,4651,620,
13218*A,2,5149,4499,650,
13218*A,3,5168,4465,703,
13218*A,4,5166,4530,636,
13218*A,5,4881,4513,368,
14681-1*A,1,5403,4533,870,
14681-1*A,2,5215,4251,964,
14681-1*A,3,5121,4506,615,
14681-1*A,4,5501,4573,928,
14681-1*A,5,5267,4488,779,
21588*A,1,5069,4618,451,
21588*A,2,4984,4442,542,
21588*A,3,4881,4375,506,
21588*A,4,5009,4511,498,
21588*A,5,4937,4440,497,
12453*A,1,3545,1876,1669,
12453*A,2,3256,1874,1382,
12453*A,3,3574,1859,1715,
12453*A,4,3254,1871,1383,
12453*A,5,3334,1862,1472,
12353*C,1,3278,1889,1389,
12353*C,2,2825,1852,973,
12353*C,3,3542,1836,1706,
12353*C,4,3189,1884,1305,
12353*C,5,3037,1881,1156,
1171-67*A,1,1854,1848,6,
1171-67*A,2,1881,1875,6,
1171-67*A,3,1834,1823,11,
1171-67*A,4,1849,1845,4,
1171-67*A,5,1836,1831,5,
14937*A,1,1877,1874,3,
14937*A,2,1889,1881,8,
14937*A,3,1858,1851,7,
14937*A,4,1873,1869,4,
14937*A,5,1933,1930,3,
1296-83*A,1,1927,1920,7,
1296-83*A,2,1885,1878,7,
1296-83*A,3,1889,1884,5,
1296-83*A,4,1881,1874,7,
1296-83*A,5,1898,1890,8,
14936*C,1,1904,1898,6,
14936*C,2,1898,1892,6,
14936*C,3,1833,1829,4,
14936*C,4,1832,1826,6,
14936*C,5,1906,1900,6,
1171-67*B,1,1901,1894,7,
1171-67*B,2,1863,1856,7,
1171-67*B,3,1885,1882,3,
1171-67*B,4,1886,1882,4,
1171-67*B,5,1853,1848,5,
21784*K,1,1844,1837,7,
21784*K,2,1828,1823,5,
21784*K,3,1861,1852,9,
21784*K,4,1822,1817,5,
21784*K,5,1833,1826,7,
18503*G,1,1847,1838,9,
18503*G,2,1815,1810,5,
18503*G,3,1852,1847,5,
18503*G,4,1816,1804,12,
18503*G,5,1808,1803,5,
18503*A,1,1822,1814,8,
18503*A,2,1871,1865,6,
18503*A,3,1844,1836,8,
18503*A,4,1814,1808,6,
18503*A,5,1851,1846,5,
21784*B,1,1836,1831,5,
21784*B,2,1862,1858,4,
21784*B,3,1833,1829,4,
21784*B,4,1845,1840,5,
21784*B,5,1889,1885,4,
14936*B,1,1906,1901,5,
14936*B,2,1855,1849,6,
14936*B,3,1880,1873,7,
14936*B,4,1882,1876,6,
14936*B,5,1891,1887,4,
14939*B,1,1816,1806,10,
14939*B,2,1853,1846,7,
14939*B,3,1854,1845,9,
14939*B,4,1838,1829,9,
14939*B,5,1839,1829,10,
152-79*A,1,1837,1827,10,
152-79*A,2,1844,1834,10,
152-79*A,3,1820,1810,10,
152-79*A,4,1840,1834,6,
152-79*A,5,1871,1860,11,
1097*C,1,1878,1866,12,
1097*C,2,1833,1827,6,
1097*C,3,1863,1856,7,
1097*C,4,1847,1841,6,
1097*C,5,1818,1810,8,
445-60*A,1,1878,1872,6,
445-60*A,2,1892,1885,7,
445-60*A,3,1885,1880,5,
445-60*A,4,1849,1841,8,
445-60*A,5,1867,1861,6,
14948*A,1,1854,1848,6,
14948*A,2,1837,1831,6,
14948*A,3,1861,1850,11,
14948*A,4,1891,1881,10,
14948*A,5,1902,1896,6,
1248-79*B,1,5054,4482,572,
1248-79*B,2,4639,4308,331,
1248-79*B,3,4775,4495,280,
1248-79*B,4,5100,4539,561,
1248-79*B,5,5010,4605,405,
1248-79*A,1,4982,4470,512,
1248-79*A,2,5042,4352,690,
1248-79*A,3,5235,4463,772,
1248-79*A,4,5203,4577,626,
1248-79*A,5,5195,4566,629,
1248-79*C,1,5957,4320,1637,
1248-79*C,2,5525,4362,1163,
1248-79*C,3,5497,4606,891,
1248-79*C,4,5284,4614,670,
1248-79*C,5,5861,4501,1360,
787*D,1,3474,2443,1031,
787*D,2,3154,2456,698,
787*D,3,3017,2433,584,
787*D,4,3225,2444,781,
787*D,5,3342,2413,929,
14992*D,1,3003,2406,597,
14992*D,2,3149,2414,735,
14992*D,3,3522,2435,1087,
14992*D,4,3386,2459,927,
14992*D,5,2953,2463,490,
1038-80*A,1,2965,2488,477,
1038-80*A,2,3113,2459,654,
1038-80*A,3,2891,2458,433,
1038-80*A,4,2842,2438,404,
1038-80*A,5,3016,2470,546,
787*B,1,2495,1864,631,
787*B,2,2137,1851,286,
787*B,3,2129,1859,270,
787*B,4,2503,1870,633,
787*B,5,2331,1851,480,
814-62*A,1,1906,1888,18,
814-62*A,2,1874,1863,11,
814-62*A,3,1862,1849,13,
814-62*A,4,1872,1856,16,
814-62*A,5,1866,1851,15,
524-48*L,1,1882,1867,15,
524-48*L,2,1853,1834,19,
524-48*L,3,1860,1842,18,
524-48*L,4,1863,1853,10,
524-48*L,5,1824,1813,11,
3-48*A,1,1851,1844,7,
3-48*A,2,1824,1814,10,
3-48*A,3,1874,1861,13,
3-48*A,4,1845,1836,9,
3-48*A,5,1868,1860,8,
814-62*D,1,1850,1842,8,
814-62*D,2,1831,1825,6,
814-62*D,3,1839,1834,5,
814-62*D,4,1855,1849,6,
814-62*D,5,1886,1876,10,
524-48*DD,1,1875,1859,16,
524-48*DD,2,1857,1848,9,
524-48*DD,3,1853,1839,14,
524-48*DD,4,1834,1818,16,
524-48*DD,5,1873,1865,8,
815-62*C,1,1871,1862,9,
815-62*C,2,1856,1849,7,
815-62*C,3,1866,1858,8,
815-62*C,4,1832,1823,9,
815-62*C,5,1847,1837,10,
815-62*B,1,1919,1907,12,
815-62*B,2,1860,1851,9,
815-62*B,3,1852,1841,11,
815-62*B,4,1868,1860,8,
1769-77*A,1,8852,4449,4403,
1769-77*A,2,7467,4347,3120,
1769-77*A,3,6756,4426,2330,
1769-77*A,4,6016,4371,1645,
1769-77*A,5,6285,4447,1838,
181-79*A,1,6381,4517,1864,
181-79*A,2,7499,4452,3047,
181-79*A,3,6550,4390,2160,
181-79*A,4,5502,4342,1160,
181-79*A,5,6996,4426,2570,
7544*C,1,6399,4528,1871,
7544*C,2,6296,4514,1782,
7544*C,3,5677,4500,1177,
7544*C,4,5817,4400,1417,
7544*C,5,6526,4389,2137,
7544*B,1,6455,4445,2010,
7544*B,2,5714,4392,1322,
7544*B,3,5930,4378,1552,
7544*B,4,5505,4489,1016,
7544*B,5,6383,4426,1957,
7544*E,1,6056,4492,1564,
7544*E,2,5868,4349,1519,
7544*E,3,6475,4433,2042,
7544*E,4,7529,4596,2933,
7544*E,5,6237,4436,1801,
10724*B,1,5353,4457,896,
10724*B,2,5640,4467,1173,
10724*B,3,5021,4487,534,
10724*B,4,6299,4380,1919,
10724*B,5,5583,4365,1218,
6992*W,1,1876,1841,35,
6992*W,2,1875,1833,42,
6992*W,3,1887,1851,36,
6992*W,4,1893,1847,46,
6992*W,5,1889,1857,32,
6998*B,1,1925,1884,41,
6998*B,2,1912,1873,39,
6998*B,3,1928,1880,48,
6998*B,4,1924,1891,33,
6998*B,5,1921,1886,35,
21774*A,1,1905,1873,32,
21774*A,2,1864,1839,25,
21774*A,3,1885,1855,30,
21774*A,4,1904,1875,29,
21774*A,5,1912,1881,31,
6284*I,1,1862,1830,32,
6284*I,2,1845,1821,24,
6284*I,3,1853,1828,25,
6284*I,4,1900,1871,29,
6284*I,5,1851,1817,34,
6992*G,1,1875,1835,40,
6992*G,2,1887,1850,37,
6992*G,3,1884,1855,29,
6992*G,4,1867,1835,32,
6992*G,5,1891,1867,24,
6998*F,1,1864,1846,18,
6998*F,2,1863,1846,17,
6998*F,3,1901,1889,12,
6998*F,4,1884,1871,13,
6998*F,5,1904,1887,17,
16477*E,1,1879,1861,18,
16477*E,2,1880,1861,19,
16477*E,3,1850,1838,12,
16477*E,4,1866,1853,13,
16477*E,5,1891,1868,23,
503-40*B,1,1872,1858,14,
503-40*B,2,1869,1856,13,
503-40*B,3,1836,1822,14,
503-40*B,4,1860,1849,11,
503-40*B,5,1850,1842,8,
7707*C,1,1868,1841,27,
7707*C,2,1897,1870,27,
7707*C,3,1883,1862,21,
7707*C,4,1851,1817,34,
7707*C,5,1884,1860,24,
7707*K,1,1849,1824,25,
7707*K,2,1889,1861,28,
7707*K,3,1885,1859,26,
7707*K,4,1868,1841,27,
7707*K,5,1894,1861,33,
7707*F,1,1851,1846,5,
7707*F,2,1883,1873,10,
7707*F,3,1851,1843,8,
7707*F,4,1890,1879,11,
7707*F,5,1909,1903,6,
7707*S,1,1879,1864,15,
7707*S,2,1850,1837,13,
7707*S,3,1882,1871,11,
7707*S,4,1879,1864,15,
7707*S,5,1858,1847,11,
7707*G,1,1857,1842,15,
7707*G,2,1854,1827,27,
7707*G,3,1872,1847,25,
7707*G,4,1863,1839,24,
7707*G,5,1883,1866,17,
7707*M,1,1862,1848,14,
7707*M,2,1876,1846,30,
7707*M,3,1867,1841,26,
7707*M,4,1892,1868,24,
7707*M,5,1866,1838,28,
7707*Q,1,1877,1840,37,
7707*Q,2,1911,1872,39,
7707*Q,3,1881,1842,39,
7707*Q,4,1841,1800,41,
7707*Q,5,1865,1826,39,
1341-78*A,1,2490,2476,14,
1341-78*A,2,1920,1903,17,
1341-78*A,3,1858,1841,17,
1341-78*A,4,1868,1851,17,
1341-78*A,5,1887,1864,23,
1341-78*B,1,1904,1881,23,
1341-78*B,2,1912,1889,23,
1341-78*B,3,1882,1848,34,
1341-78*B,4,1909,1878,31,
1341-78*B,5,1916,1891,25,
20-48*A,1,1893,1851,42,
20-48*A,2,1872,1847,25,
20-48*A,3,1885,1855,30,
20-48*A,4,1910,1875,35,
20-48*A,5,1876,1845,31,
228-43*A,1,1896,1869,27,
228-43*A,2,1851,1838,13,
228-43*A,3,1864,1840,24,
228-43*A,4,1900,1874,26,
228-43*A,5,1891,1862,29,
7709*B,1,1859,1843,16,
7709*B,2,1845,1831,14,
7709*B,3,1836,1827,9,
7709*B,4,1846,1834,12,
7709*B,5,1888,1875,13,
1476*I,1,1912,1867,45,
1476*I,2,1919,1872,47,
1476*I,3,1840,1817,23,
1476*I,4,1945,1900,45,
1476*I,5,1915,1888,27,
1476*B,1,1874,1832,42,
1476*B,2,1902,1863,39,
1476*B,3,1864,1828,36,
1476*B,4,1877,1836,41,
1476*B,5,1903,1872,31,
6995*A,1,2447,2435,12,
6995*A,2,2491,2477,14,
6995*A,3,2482,2469,13,
6995*A,4,2474,2456,18,
6995*A,5,2509,2490,19,
6995*H,1,1448,1445,3,
6995*H,2,1413,1409,4,
6995*H,3,1423,1420,3,
6995*H,4,1430,1427,3,
6995*H,5,1445,1441,4,
16511*G,1,1867,1853,14,
16511*G,2,1885,1871,14,
16511*G,3,1902,1887,15,
16511*G,4,1897,1881,16,
16511*G,5,1891,1877,14,
16511*C,1,1850,1835,15,
16511*C,2,1858,1843,15,
16511*C,3,1846,1831,15,
16511*C,4,1822,1810,12,
16511*C,5,1866,1853,13,
16511*E,1,1872,1859,13,
