accession_no,genus,species,var_ssp,priority,loc,leaves,height1,height2,leaves_date,leaves_person,twigs_date,twigs_person,notes
1248-79*B,Liquidambar,styraciflua,,2,19-SE,Y,47.28,43.96,6/30/15,silvia,7/10/15,Sally,
1248-79*C,Liquidambar,styraciflua,,2,19-SW,Y,50.6,49.49,6/30/15,silvia,7/10/15,Sally,
1038-80*A,Liriodendron,tulipifera,,2,2-SE,N,64.43,66.52,6/29/15,"Silvia, Sally",7/14/15,Sally,
787*B,Liriodendron,tulipifera,,2,57-NE,Y,93.46,86.19,7/29/15,"Silvia, John",7/29/15,"Silvia, John",
787*F,Liriodendron,tulipifera,,2,57-SE,N,80.65,88.07,,,,,need truck
1769-77*A,Phellodendron,amurense,,2,7-SE,N,,,6/29/15,"Silvia, Sally",,,
181-79*A,Phellodendron,amurense,,2,7-SE,Y,,,6/29/15,"Silvia, Sally",,,
10724*B,Phellodendron,amurense,lavallei,2,7-SE,Y,43.53,50.66,6/29/15,"Silvia, Sally",7/14/15,Sally,
7544*B,Phellodendron,amurense,lavallei,2,5-SW,Y,60.89,59.24,6/29/15,"Silvia, Sally",7/14/15,Sally,
7544*C,Phellodendron,amurense,lavallei,2,7-SE,N,60.05,53.32,6/29/15,"Silvia, Sally",7/14/15,Sally,
7544*E,Phellodendron,amurense,lavallei,2,10-NW,,38.83,32.09,6/29/15,"Silvia, Sally",7/14/15,Sally,
111-58*A,Platanus,occidentalis,,1,13-SW,Y,76.28,70.49,6/19/15,Sally,7/20/15,Sally,
111-58*B,Platanus,occidentalis,,1,13-SW,Y,62.26,58.93,6/19/15,Sally,7/20/15,Sally,
1236-79*A,Platanus,occidentalis,,1,19-NE,Y,60.04,55.29,6/19/15,Sally,7/20/15,Sally,
1236-79*B,Platanus,occidentalis,,1,19-NE,Y,66.19,72.32,6/19/15,Sally,7/20/15,Sally,
1236-79*D,Platanus,occidentalis,,1,19-NW,Y,63.04,62.18,6/19/15,Sally,7/20/15,Sally,
1726-81*A,Platanus,occidentalis,,1,13-SE,Y,,,6/19/15,Sally,,,
1726-81*B,Platanus,occidentalis,,1,38-SW,Y,65.29,64.06,6/19/15,Sally,,,
16611*F,Populus,deltoides,deltoides,1,51-SE,N,63.55,56.73,6/19/15,Sally,8/2/15,Sally,
16611*H,Populus,deltoides,deltoides,1,51-SE,N,,,,,,,need throw line
16611*J,Populus,deltoides,deltoides,1,55-NE,N,51.19,52.39,6/19/15,Sally,8/2/15,Sally,
16611*K,Populus,deltoides,deltoides,1,55-NE,N,60.9,71.11,6/19/15,Sally,8/2/15,Sally,
16611*O,Populus,deltoides,deltoides,1,55-NE,N,66.08,60.26,6/19/15,Sally,8/2/15,Sally,
22099*A,Populus,deltoides,deltoides,1,55-NE,Y,48.5,51.02,6/19/15,Sally,8/2/15,Sally,
10793*A,Pyrus,calleryana,dimorphophylla,2,51-NE,Y,40.98,41.51,6/30/15,silvia,7/16/15,silvia,
250-80*A,Pyrus,calleryana,dimorphophylla,2,49-NE,Y,29.23,24.38,6/30/15,silvia,8/2/15,Sally,
250-80*E,Pyrus,calleryana,dimorphophylla,2,49-NE,Y,34.76,37.19,6/30/15,silvia,8/2/15,Sally,
731-81*B,Pyrus,calleryana,dimorphophylla,2,45-NW,Y,,,,,,,not on Arb explorer
731-81*F,Pyrus,calleryana,dimorphophylla,2,45-NW,Y,,,,,,,not on Arb explorer
10569*A,Pyrus,pyrifolia,,2,53-NE,Y,43.37,42.89,6/30/15,silvia,7/29/15,"silvia, ailene",
7272*A,Pyrus,pyrifolia,,2,51-NE,Y,45.54,48.05,6/30/15,silvia,7/29/15,"silvia, ailene",
7272*C,Pyrus,pyrifolia,,2,EG-32-NE,Y,,,6/25/15,"AILENE, SILVIA",,,
23189*A,Pyrus,pyrifolia,stapfiana,2,53-SE,Y,41.31,40.15,6/30/15,silvia,7/29/15,"silvia, ailene",
11728*A,Pyrus,ussuriensis,hondoensis,1,51-NE,Y,36.43,35.66,6/30/15,silvia,7/16/15,silvia,tag missing
11728*B,Pyrus,ussuriensis,hondoensis,1,51-NE,Y,38.55,38.5,6/30/15,silvia,7/16/15,silvia,
11728*C,Pyrus,ussuriensis,hondoensis,1,28-SW,Y,31.5,,7/2/15,Sally,8/2/15,Sally,couldn't find; by the road?
17456*A,Pyrus,ussuriensis,hondoensis,1,51-NE,Y,29.15,28.23,6/30/15,silvia,7/16/15,silvia,
17456*B,Pyrus,ussuriensis,hondoensis,1,51-NE,Y,32.85,37.47,6/30/15,silvia,7/29/15,"silvia, ailene",
16795*A,Quercus,aliena,acutiserrata,2,33-SW,N,70.88,72.25,7/27/15,"silvia, John",7/27/15,"silvia, John",
18409*A,Quercus,aliena,acutiserrata,2,58-SW,N,63.05,63.74,6/26/15,"AILENE, SILVIA",10/6/15,Sally,
20517*A,Quercus,coccinea,,1,64-NE,N,61.44,57.24,6/26/15,"AILENE, SILVIA",10/6/15,Sally,
20517*B,Quercus,coccinea,,1,64-NE,Y,78.68,61.84,6/26/15,"AILENE, SILVIA",10/6/15,Sally,
7598*A,Quercus,coccinea,,1,25-SE,N,,,9/14/15,"Sally,John",9/16/15,John,need truck
7598*B,Quercus,coccinea,,1,25-SE,N,87.7,83.81,7/27/15,"silvia, John",7/27/15,"silvia, John",top unclear
7598*H,Quercus,coccinea,,1,62-SW,N,,,9/16/15,John,9/16/15,John,need truck
7598*J,Quercus,coccinea,,1,62-NW,Y,78.47,72.51,6/26/15,"AILENE, SILVIA",10/6/15,Sally,
1590-52*B,Quercus,dentata,,2,33-SW,Y,58.08,58.64,6/23/15,"silvia, ailene",10/4/15,Sally,
1590-52*C,Quercus,dentata,,2,33-SW,Y,47.71,55.65,6/23/15,"silvia, ailene",10/4/15,Sally,
16815*A,Quercus,dentata,,2,33-SW,Y,57.45,51.68,6/23/15,"silvia, ailene",10/4/15,Sally,
16816*A,Quercus,dentata,,2,33-SW,N,53.69,54.31,,,10/4/15,Sally,need ladder
1211-77*B,Quercus,glandulifera,,1,50-NE,Y,36.32,42.52,6/26/15,"AILENE, SILVIA",7/29/15,"silvia, ailene",
1264-80*B,Quercus,glandulifera,,1,31-NW,Y,,,6/26/15,"AILENE, SILVIA",7/28/15,Ailene,
16823*B,Quercus,glandulifera,,1,57-NE,N,,,6/26/15,"AILENE, SILVIA",10/6/15,Sally,
16823*K,Quercus,glandulifera,,1,53-SW,Y,46.88,38.75,6/26/15,"AILENE, SILVIA",10/6/15,Sally,
16824*C,Quercus,glandulifera,,1,33-SW,Y,62.3,66.85,6/23/15,"silvia, ailene",9/19/15,Sally,
3672*A,Quercus,glandulifera,,1,33-SW,N,63.08,59.01,6/23/15,"silvia, ailene",9/19/15,Sally,
3672*B,Quercus,glandulifera,,1,33-SW,N,59.04,57.38,6/23/15,"silvia, ailene",9/19/15,Sally,
3672*C,Quercus,glandulifera,,1,33-SW,Y,51.19,50.57,6/23/15,"silvia, ailene",9/19/15,Sally,
16847*E,Quercus,macrocarpa,,2,25-NE,Y,,,6/26/15,"AILENE, SILVIA",10/4/15,Sally,
16847*F,Quercus,macrocarpa,,2,25-SE,N,,,,,,,need ladder + pole pruners
16847*J,Quercus,macrocarpa,,2,25-NE,N,,,,,10/4/15,Sally,
16847*M,Quercus,macrocarpa,,2,25-NE,Y,,,6/23/15,"silvia, ailene",10/4/15,Sally,
11253*A,Quercus,rubra,,2,25-SE,N,59.13,64.67,6/23/15,"silvia, ailene",9/19/15,Sally,
16882*B,Quercus,rubra,,2,32-NW,N,75.27,70.88,7/27/15,"silvia, John",7/27/15,"silvia, John",top unclear
5859*B,Quercus,rubra,,2,26-SW,N,65.58,,6/25/15,"silvia, ailene",9/14/15,"Sally,John",
8197*A,Quercus,rubra,,2,25-SE,N,72.94,78.7,9/16/15,John,9/16/15,John,need truck
1581-77*F,Quercus,variabilis,,1,15-SE,Y,40.79,49.17,6/26/15,"AILENE, SILVIA",10/4/15,Sally,
17631*A,Quercus,variabilis,,1,33-SW,N,67.57,67.42,,,,,need ladder
17631*B,Quercus,variabilis,,1,33-SW,N,72.81,73.02,6/23/15,"silvia, ailene",10/4/15,Sally,
18053*A,Quercus,variabilis,,1,57-NE,Y,,,6/26/15,"AILENE, SILVIA",10/6/15,Sally,
3671*A,Quercus,variabilis,,1,33-SW,N,62.3,66.02,6/23/15,"silvia, ailene",10/4/15,Sally,
1539-80*A,Sorbus,yuana,,1,27-SE,Y,27.43,25.61,6/17/15,Silvia,10/4/15,Sally,
1539-80*B,Sorbus,yuana,,1,22-NW,Y,27.72,27.99,6/17/15,Silvia,10/4/15,Sally,
1539-80*C,Sorbus,yuana,,1,BR-16-SE,Y,28,24.53,6/17/15,Silvia,10/4/15,Sally,
1539-80*H,Sorbus,yuana,,1,51-NW,Y,30.04,29.36,6/17/15,Silvia,7/29/15,"silvia, ailene",
1539-80*I,Sorbus,yuana,,1,51-SW,Y,27.58,27.3,6/17/15,Silvia,7/29/15,"silvia, ailene",
