ACC_NUM,NAME,LOC,Col_lvs_perc05,Col_lvs_perc06,Col_lvs_perc07,Col_lvs_perc08,Col_lvs_perc09,Col_lvs_perc10,Col_lvs_perc11,Col_lvs_perc12,Col_lvs_perc13,Col_lvs05,Col_lvs06,Col_lvs07,Col_lvs08,Col_lvs09,Col_lvs10,Col_lvs11,Col_lvs12,Col_lvs13,Comments05,Comments06,Comments07,Comments08,Comments09,Comments10,Comments11,Comments12,Comments13,Date05,Date06,Date07,Date08,Date09,Date10,Date11,Date12,Date13,Fall_lvs_perc05,Fall_lvs_perc06,Fall_lvs_perc07,Fall_lvs_perc08,Fall_lvs_perc09,Fall_lvs_perc10,Fall_lvs_perc11,Fall_lvs_perc12,Fall_lvs_perc13,Fall_lvs05,Fall_lvs06,Fall_lvs07,Fall_lvs08,Fall_lvs09,Fall_lvs10,Fall_lvs11,Fall_lvs12,Fall_lvs13
1422-83*B,Fraxinus pennsylvanica,20-NE,0,24,24,74,94,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,24,24,94,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
1726-81*A,Platanus occidentalis,13-SE,0,49,24,24,49,74,94,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,24,24,49,100,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
1236-79*A,Platanus occidentalis,19-NE,0,0,24,24,24,49,74,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,24,24,24,74,24,74,Y,Y,Y,Y,Y,Y,Y,Y,Y
1236-79*B,Platanus occidentalis,19-NE,0,0,24,24,24,49,74,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,24,24,24,49,24,74,Y,Y,Y,Y,Y,Y,Y,Y,Y
1236-79*D,Platanus occidentalis,19-NW,0,24,24,24,24,74,49,74,94,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,24,24,24,49,24,49,Y,Y,Y,Y,Y,Y,Y,Y,Y
1248-79*A,Liquidambar styraciflua,19-NE,24,24,24,24,24,49,49,74,94,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,24,24,24,24,24,Y,Y,Y,Y,Y,Y,Y,Y,Y
1248-79*B,Liquidambar styraciflua,19-SE,24,24,24,24,49,74,74,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,24,24,24,24,24,Y,Y,Y,Y,Y,Y,Y,Y,Y
16847*E,Quercus macrocarpa,25-NE,0,0,24,24,49,94,74,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,24,24,24,24,94,100,N,N,Y,Y,Y,Y,Y,Y,Y
11253*A,Quercus rubra,25-SE,0,0,24,0,24,24,49,94,100,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/42014,11/11/14,0,0,0,0,0,0,24,49,49,N,Y,Y,Y,Y,Y,Y,Y,Y
8197*A,Quercus rubra,25-SE,0,0,0,0,24,24,24,24,94,N,N,N,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,24,24,24,N,N,N,Y,Y,Y,Y,Y,Y
