ACC_NUM,NAME,LOC,Col_lvs_perc05,Col_lvs_perc06,Col_lvs_perc07,Col_lvs_perc08,Col_lvs_perc09,Col_lvs_perc10,Col_lvs_perc11,Col_lvs_perc12,Col_lvs_perc13,Col_lvs05,Col_lvs06,Col_lvs07,Col_lvs08,Col_lvs09,Col_lvs10,Col_lvs11,Col_lvs12,Col_lvs13,Comments05,Comments06,Comments07,Comments08,Comments09,Comments10,Comments11,Comments12,Comments13,Date05,Date06,Date07,Date08,Date09,Date10,Date11,Date12,Date13,Fall_lvs_perc05,Fall_lvs_perc06,Fall_lvs_perc07,Fall_lvs_perc08,Fall_lvs_perc09,Fall_lvs_perc10,Fall_lvs_perc11,Fall_lvs_perc12,Fall_lvs_perc13,Fall_lvs05,Fall_lvs06,Fall_lvs07,Fall_lvs08,Fall_lvs09,Fall_lvs10,Fall_lvs11,Fall_lvs12,Fall_lvs13
537-81*A,Fraxinus sieboldiana,27-NW,0,24,49,74,100,100,100,100,100,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,24,0,24,49,74,94,100,100,N,Y,Y,Y,Y,Y,Y,Y,Y
186-82*A,Fraxinus pennsylvanica,21-SW,0,0,24,49,49,74,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/42014,11/11/14,0,0,0,24,24,49,94,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
1245-79*A,Catalpa speciosa,21-SW,0,0,24,74,74,74,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,74,49,74,74,94,94,N,N,Y,Y,Y,Y,Y,Y,Y
1245-79*B,Catalpa speciosa,21-SW,0,0,24,24,49,74,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Temperature sensor,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,24,24,49,49,74,N,N,Y,Y,Y,Y,Y,Y,Y
14615*B,Fraxinus chinensis,26-SE,0,0,24,24,74,94,100,100,100,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,24,24,74,94,100,100,N,Y,Y,Y,Y,Y,Y,Y,Y
439-80*C,Fraxinus chinensis,27-NW,0,24,74,94,100,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,DONE,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,49,100,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
439-80*D,Fraxinus chinensis,27-NW,0,0,74,100,100,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,DONE,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,24,49,100,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
911-77*A,Fraxinus chinensis,27-NW,0,0,0,49,100,100,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,DONE,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,24,49,100,100,100,100,N,N,N,Y,Y,Y,Y,Y,Y
911-77*C,Fraxinus chinensis,27-NW,0,0,0,74,100,100,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,DONE,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,49,94,100,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y
910-77*A,Fraxinus chinensis var. rhynchophylla,27-NW,0,0,0,0,24,24,74,94,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,24,24,74,N,N,Y,Y,Y,Y,Y,Y,Y
17908*D,Ulmus laciniata var. nik.,20-SE,0,0,0,0,0,24,49,74,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,24,49,74,Y,N,Y,Y,Y,Y,Y,Y,Y
1265-79*D,Fraxinus mandshurica,20-SE,0,0,49,74,94,100,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,DONE,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,24,24,74,49,94,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
111-58*A,Platanus occidentalis,13-SW,0,0,24,24,24,49,74,94,94,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,49,49,49,Y,Y,Y,Y,Y,Y,Y,Y,Y
111-58*B,Platanus occidentalis,13-SW,24,24,24,24,24,49,94,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,24,0,0,24,0,49,74,74,94,Y,Y,Y,Y,Y,Y,Y,Y,Y
7321*A,Carya ovata,13-SW,0,0,0,24,74,100,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,49,74,100,100,N,N,Y,Y,Y,Y,Y,Y,Y
20095*A,Carya glabra,18-SE,0,0,24,24,49,74,94,100,100,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,BM Sensor,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,24,24,74,74,Y,N,Y,Y,Y,Y,Y,Y,Y
7873*A,Carya glabra,19-NW,0,0,24,0,74,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,24,94,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
12907*B,Carya ovata,19-NW,0,0,0,24,74,100,100,100,100,N,N,N,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,24,49,100,100,N,N,N,Y,Y,Y,Y,Y,Y
12907*D,Carya ovata,19-NW,0,0,0,24,49,100,100,100,100,Y,N,N,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,24,49,100,100,N,N,N,Y,Y,Y,Y,Y,Y
12907*G,Carya ovata,19-NW,0,0,0,24,94,100,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,49,74,100,100,N,N,Y,Y,Y,Y,Y,Y,Y
12907*I,Carya ovata,19-NW,0,0,24,94,100,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,DONE,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,24,49,94,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
12907*N,Carya ovata,19-NW,0,0,0,0,24,49,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,24,24,49,Y,Y,Y,Y,Y,Y,Y,Y,Y
12907*Q,Carya ovata,19-NW,0,0,0,49,74,100,100,100,100,N,N,N,Y,Y,Y,Y,Y,Y,,,,,,,DONE,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,49,100,100,100,N,N,N,Y,Y,Y,Y,Y,Y
7947*A,Carya ovata,19-NW,0,0,24,49,100,100,100,100,100,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,DONE,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,24,24,94,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y
6986*A,Carya ovata,19-SW,0,0,0,24,24,49,100,100,100,N,N,N,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,49,74,94,N,N,N,Y,Y,Y,Y,Y,Y
1248-79*C,Liquidambar styraciflua,19-SW,0,24,24,24,24,24,74,94,94,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,24,24,Y,Y,Y,Y,Y,Y,Y,Y,Y
20098*A,Carya glabra,25-SW,0,0,0,49,49,100,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,24,94,100,100,N,N,N,Y,Y,Y,Y,Y,Y
2019*B,Carya glabra,25-SW,0,0,0,24,49,100,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,24,94,100,100,N,N,N,Y,Y,Y,Y,Y,Y
2019*C,Carya glabra,25-SW,0,0,0,24,24,49,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,49,49,N,N,Y,Y,Y,Y,Y,Y,Y
2019*I,Carya glabra,25-SW,0,0,0,24,24,49,100,100,100,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,24,49,49,Y,N,Y,Y,Y,Y,Y,Y,Y
2019*O,Carya glabra,25-SW,0,24,24,49,74,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,24,74,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
2019*R,Carya glabra,25-SW,0,0,0,49,24,74,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,24,74,94,94,N,N,Y,Y,Y,Y,Y,Y,Y
2019*S,Carya glabra,25-SW,0,0,0,24,24,24,94,100,100,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,24,24,49,N,N,Y,Y,Y,Y,Y,Y,Y
6990*A,Carya glabra,25-SW,0,0,24,49,74,100,100,100,100,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,94,100,100,Y,N,Y,Y,Y,Y,Y,Y,Y
8188*A,Carya glabra,25-SW,0,0,24,24,24,74,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,49,74,94,Y,N,Y,Y,Y,Y,Y,Y,Y
16847*J,Quercus macrocarpa,25-NE,0,0,24,0,24,24,24,74,94,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,49,49,N,N,Y,Y,Y,Y,Y,Y,Y
16847*M,Quercus macrocarpa,25-NE,0,0,24,24,24,24,49,74,94,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,24,74,49,Y,N,Y,Y,Y,Y,Y,Y,Y
7598*A,Quercus coccinea,25-SE,0,0,24,24,24,24,49,74,94,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,24,49,49,N,N,Y,Y,Y,Y,Y,Y,Y
7598*B,Quercus coccinea,25-SE,0,0,24,0,24,24,49,74,94,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,24,49,49,N,N,Y,Y,Y,Y,Y,Y,Y
16847*F,Quercus macrocarpa,25-SE,0,0,24,0,24,24,74,94,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,24,49,74,94,N,N,Y,Y,Y,Y,Y,Y,Y
1264-80*B,Quercus glandulifera,31-NW,0,0,0,0,0,0,0,24,24,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,24,0,N,N,N,Y,N,Y,Y,Y,Y
970-79*B,Carpinus caroliniana,31-SE,24,24,24,49,49,74,94,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,24,24,24,49,94,94,Y,Y,Y,Y,Y,Y,Y,Y,Y
358-82*A,Quercus alba,32-NW,0,0,0,0,0,0,24,49,24,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,24,24,N,N,N,Y,Y,Y,Y,Y,Y
16882*B,Quercus rubra,32-NW,0,0,0,0,24,0,24,49,94,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,24,24,N,N,N,Y,Y,Y,Y,Y,Y
7416*A,Fagus engleriana,37-NE,0,0,0,0,0,24,0,24,74,N,N,N,N,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,0,24,N,N,N,N,Y,Y,Y,Y,Y
14585*G,Fagus grandifolia,37-NE,0,0,0,0,24,24,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,74,94,N,N,N,Y,Y,Y,Y,Y,Y
14585*J,Fagus grandifolia,37-NE,0,0,0,0,24,74,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,Temperature censor AA18,Temperature sensor,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,74,74,94,N,N,N,Y,Y,Y,Y,Y,Y
14585*T,Fagus grandifolia,37-NE,0,0,0,0,24,49,94,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,0,24,49,94,N,N,N,Y,Y,Y,Y,Y,Y
14585*V,Fagus grandifolia,37-NE,0,0,0,0,24,24,74,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,0,24,24,94,N,N,N,Y,Y,Y,Y,Y,Y
14585*W,Fagus grandifolia,37-NE,0,0,0,0,24,24,94,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,0,24,24,74,N,N,N,Y,Y,Y,Y,Y,Y
6782*B,Fagus grandifolia,37-NE,0,0,0,0,24,24,24,24,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,0,74,N,N,N,Y,Y,Y,Y,Y,Y
14585*B,Fagus grandifolia,37-NW,0,0,0,0,24,49,94,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,49,74,49,N,N,N,Y,Y,Y,Y,Y,Y
14585*C,Fagus grandifolia,37-NW,0,0,0,24,24,24,74,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,49,49,N,N,N,Y,Y,Y,Y,Y,Y
14585*D,Fagus grandifolia,37-NW,0,0,0,0,24,24,24,49,94,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,0,49,N,N,N,Y,Y,Y,Y,Y,Y
383-27*A,Fagus engleriana,38-NW,0,0,0,0,24,24,24,24,74,N,N,N,N,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y
383-27*B,Fagus engleriana,38-NW,0,0,0,0,24,24,24,24,74,N,N,N,N,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y
1726-81*B,Platanus occidentalis,38-SW,0,0,24,49,49,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,temperature sensor in rhode nearby,DONE,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,24,24,24,74,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
524-48*D,Met. glyptostroboides,43-NW,0,0,0,0,0,0,24,49,94,N,N,N,N,N,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,24,24,N,N,N,N,N,Y,Y,Y,Y
524-48*A,Met. glyptostroboides,42-NW,0,0,0,0,0,0,0,49,74,N,N,N,N,N,N,N,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,24,24,N,N,N,N,N,N,N,Y,Y
1171-67*A,Larix decidua,39-NE,0,0,0,0,0,0,49,49,100,N,N,N,N,N,N,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,24,74,N,N,N,N,N,N,Y,Y,Y
1171-67*B,Larix decidua,39-NE,0,0,0,0,0,0,24,49,49,N,N,N,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,0,24,N,N,N,N,N,Y,Y,Y,Y
152-79*A,Larix kaempferi,39-NE,0,0,0,0,0,0,24,,94,N,N,N,Y,N,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,,24,N,N,N,N,N,N,Y,Y,Y
14948*A,Larix sibirica,39-NE,0,0,0,0,0,24,94,100,100,N,N,N,N,N,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,74,74,N,N,N,N,N,Y,Y,Y,Y
445-60*A,Larix sibirica,39-NE,0,0,0,0,24,24,94,100,100,N,Y,N,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,49,74,N,N,N,N,N,Y,Y,Y,Y
524-48*L,Met. glyptostroboides,39-NE,0,0,0,0,0,24,24,74,100,N,N,N,Y,Y,Y,Y,Y,Y,,,,,,,temperature sensor,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,24,24,N,N,N,N,Y,N,Y,Y,Y
1894-80*G,Sorbus yuana,39-NE,0,0,0,49,24,74,94,100,100,N,Y,N,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,24,24,24,74,94,94,N,Y,N,Y,Y,Y,Y,Y,Y
1097*C,Larix kaempferi,39-SE,0,0,0,0,0,0,24,49,49,N,N,N,N,N,N,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,Y,Y,Y
14939*B,Larix kaempferi,39-SE,0,0,0,0,0,0,0,24,24,N,N,N,N,N,Y,N,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,Y,Y
3-48*A,Met. glyptostroboides,35-NE,0,0,0,0,0,0,49,49,100,N,N,N,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,24,49,N,N,N,N,N,Y,Y,Y,Y
14937*A,Larix decidua,44-SE,0,0,24,0,0,0,74,74,94,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,0,24,N,N,N,N,Y,Y,Y,Y,Y
1239-83*C,Styph. japonicum,50-NW,0,24,24,24,24,24,49,49,49,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,temperature sensor,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,24,24,Y,Y,Y,Y,Y,Y,Y,Y,Y
1894-80*B,Sorbus yuana,49-NE,0,49,49,74,100,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,done,DONE,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,24,49,74,94,100,100,100,Y,N,Y,Y,Y,Y,Y,Y,Y
250-80*A,Pyrus call. var. dimorph.,49-NE,0,24,24,0,24,24,24,74,94,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,24,24,Y,Y,Y,Y,Y,Y,Y,Y,Y
250-80*E,Pyrus call. var. dimorph.,49-NE,0,24,24,24,24,49,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,74,94,100,N,Y,Y,Y,Y,Y,Y,Y,Y
1211-77*B,Quercus glandulifera,50-NE,0,0,0,0,0,24,74,100,100,N,N,Y,N,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,24,49,N,N,N,N,Y,Y,Y,Y,Y
1237-79*B,Gleditsia triacanthos,53-NE,0,0,24,49,94,94,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,24,0,74,94,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
10569*A,Pyrus pyrifolia,53-NE,0,24,24,0,49,74,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,49,94,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
7416*B,Fagus engleriana,53-NW,0,0,0,0,0,0,0,24,24,N,Y,N,N,N,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,0,0,N,Y,N,N,N,Y,Y,Y,Y
