"","Accession","Species","FirstColorDate","PeakColorDate","FirstDropDate","PeakDropDate","PercDropped"
"23","1894-80*C","Sorbus yuana","0014-09-16","0014-11-11","0014-09-16","0014-11-11","100"
"24","1894-80*D","Sorbus yuana","0014-09-16","0014-10-21","0014-09-16","0014-10-21","100"
"25","1539-80*B","Sorbus yuana","0014-09-16","0014-10-29","0014-09-16","0014-11-04","100"
"26","13218*A","Gleditsia triacanthos","0014-09-16","0014-10-14","0014-09-16","0014-11-04","94"
"27","12221*A","Styph. japonicum","0014-09-16","0014-11-11","0014-09-16","0014-10-29","24"
"28","20101*A","Carya glabra","0014-09-16","0014-10-29","0014-10-07","0014-11-04","49"
"29","1199*J","Betula nigra","0014-09-16","0014-11-11","0014-09-16","0014-11-11","94"
"30","1199*D","Betula nigra","0014-09-16","0014-10-29","0014-09-16","0014-11-04","74"
"31","1251-79*A","Betula nigra","0014-09-16","0014-11-11","0014-09-23","0014-11-11","49"
"32","1251-79*B","Betula nigra","0014-09-16","0014-11-11","0014-09-23","0014-11-04","74"
"33","12843*A","Betula alleghaniensis","0014-09-16","0014-10-29","0014-09-16","0014-11-04","100"
"34","12843*C","Betula alleghaniensis","0014-09-16","0014-10-29","0014-09-23","0014-11-04","100"
"35","12843*D","Betula alleghaniensis","0014-09-16","0014-10-29","0014-09-23","0014-11-04","100"
"36","12843*E","Betula alleghaniensis","0014-09-16","0014-10-29","0014-09-16","0014-11-11","100"
"37","12843*H","Betula alleghaniensis","0014-09-23","0014-10-29","0014-09-23","0014-11-11","100"
"38","1813-77*A","Zelkova serrata","0014-09-16","0014-11-11","0014-09-23","0014-10-29","74"
"39","1813-77*B","Zelkova serrata","0014-09-30","0014-11-11","0014-09-30","0014-11-04","49"
"40","1813-77*C","Zelkova serrata","0014-09-16","0014-11-11","0014-09-16","0014-11-04","74"
"41","1813-77*D","Zelkova serrata","0014-09-16","0014-11-11","0014-09-16","0014-11-04","74"
"42","1813-77*E","Zelkova serrata","0014-09-30","0014-11-11","0014-09-30","0014-10-29","49"
"43","1813-77*F","Zelkova serrata","0014-09-16","0014-11-11","0014-09-23","0014-11-04","74"
"44","629-83*D","Betula alleghaniensis","0014-09-16","0014-10-29","0014-09-16","0014-11-04","100"
"45","1265-79*E","Fraxinus mandshurica","0014-09-16","0014-10-14","0014-09-16","0014-11-04","100"
"46","1422-83*B","Fraxinus pennsylvanica","0014-09-16","0014-10-21","0014-09-16","0014-10-29","100"
"47","1726-81*A","Platanus occidentalis","0014-09-16","0014-11-04","0014-09-16","0014-10-29","100"
"48","1236-79*A","Platanus occidentalis","0014-09-16","0014-11-11","0014-09-16","0014-10-29","74"
"49","1236-79*B","Platanus occidentalis","0014-09-16","0014-11-11","0014-09-16","0014-11-11","74"
"50","1236-79*D","Platanus occidentalis","0014-09-16","0014-11-11","0014-09-16","0014-10-29","49"
"51","1248-79*A","Liquidambar styraciflua","0014-09-16","0014-11-11","0014-09-16","0014-10-14","24"
"52","1248-79*B","Liquidambar styraciflua","0014-09-16","0014-11-11","0014-09-16","0014-10-14","24"
"53","16847*E","Quercus macrocarpa","0014-09-30","0014-11-04","0014-09-30","0014-11-11","100"
"54","11253*A","Quercus rubra","0014-09-23","0014-11-11","0014-09-23","0014-11-11","49"
"55","8197*A","Quercus rubra","0014-10-07","0014-11-11","0014-10-07","0014-10-21","24"
"56","5859*B","Quercus rubra","0014-09-30","0014-11-04","0014-10-07","0014-11-11","74"
"57","1239-83*A","Styph. japonicum","0014-09-16","0014-10-29","0014-09-16","0014-09-30","24"
"58","7272*C","Pyrus pyrifolia","0014-09-16","0014-10-21","0014-09-23","0014-10-07","24"
"59","16795*A","Quercus aliena","0014-09-23","0014-11-11","0014-09-23","0014-10-29","24"
"60","1590-52*B","Quercus dentata","0014-09-30","0014-11-11","0014-09-30","0014-11-11","49"
"61","1590-52*C","Quercus dentata","0014-09-30","0014-11-11","0014-09-30","0014-11-04","49"
"62","16815*A","Quercus dentata","0014-10-07","0014-11-11","0014-10-07","0014-11-11","74"
"63","16816*A","Quercus dentata","0014-09-30","0014-11-11","0014-09-30","0014-11-11","94"
"64","16824*C","Quercus glandulifera","0014-10-14","0014-11-04","0014-10-14","0014-10-29","24"
"65","3672*A","Quercus glandulifera","0014-09-30","0014-11-11","0014-10-07","0014-11-11","74"
"66","3672*B","Quercus glandulifera","0014-09-23","0014-11-11","0014-09-23","0014-11-04","74"
"67","3672*C","Quercus glandulifera","0014-10-07","0014-11-11","0014-10-07","0014-11-11","49"
"68","17631*A","Quercus variabilis","0014-10-21","0014-11-11","0014-10-14","0014-09-16","0"
